ccsr,ccsr_description
BLD001,Nutritional anemia
BLD002,Hemolytic anemia
BLD003,Aplastic anemia
BLD004,Acute posthemorrhagic anemia
BLD005,Sickle cell trait/anemia
BLD006,Coagulation and hemorrhagic disorders
BLD007,Diseases of white blood cells
BLD008,Immunity disorders
BLD009,Postprocedural or postoperative complications of the spleen
BLD010,Other specified and unspecified hematologic conditions
CIR001,Chronic rheumatic heart disease
CIR002,Acute rheumatic heart disease
CIR003,Nonrheumatic and unspecified valve disorders
CIR004,Endocarditis and endocardial disease
CIR005,Myocarditis and cardiomyopathy
CIR006,Pericarditis and pericardial disease
CIR007,Essential hypertension
CIR008,Hypertension with complications and secondary hypertension
CIR009,Acute myocardial infarction
CIR010,Complications of acute myocardial infarction
CIR011,Coronary atherosclerosis and other heart disease
CIR012,Nonspecific chest pain
CIR013,Acute pulmonary embolism
CIR014,Pulmonary heart disease
CIR015,Other and ill-defined heart disease
CIR016,Conduction disorders
CIR017,Cardiac dysrhythmias
CIR018,Cardiac arrest and ventricular fibrillation
CIR019,Heart failure
CIR020,Cerebral infarction
CIR021,Acute hemorrhagic cerebrovascular disease
CIR022,Sequela of hemorrhagic cerebrovascular disease
CIR023,Occlusion or stenosis of precerebral or cerebral arteries without infarction
CIR024,Other and ill-defined cerebrovascular disease
CIR025,Sequela of cerebral infarction and other cerebrovascular disease
CIR026,Peripheral and visceral vascular disease
CIR027,Arterial dissections
CIR028,Gangrene
CIR029,Aortic; peripheral; and visceral artery aneurysms
CIR030,Aortic and peripheral arterial embolism or thrombosis
CIR031,Hypotension
CIR032,Other specified and unspecified circulatory disease
CIR033,Acute phlebitis; thrombophlebitis and thromboembolism
CIR034,Chronic phlebitis; thrombophlebitis and thromboembolism
CIR035,Varicose veins of lower extremity
CIR036,Postthrombotic syndrome and venous insufficiency/hypertension
CIR037,Vasculitis
CIR038,Postprocedural or postoperative circulatory system complication
CIR039,Other specified diseases of veins and lymphatics
DIG001,Intestinal infection
DIG002,Disorders of teeth and gingiva
DIG003,Diseases of mouth; excluding dental
DIG004,Esophageal disorders
DIG005,Gastroduodenal ulcer
DIG006,Gastrointestinal and biliary perforation
DIG007,Gastritis and duodenitis
DIG008,Other specified and unspecified disorders of stomach and duodenum
DIG009,Appendicitis and other appendiceal conditions
DIG010,Abdominal hernia
DIG011,Regional enteritis and ulcerative colitis
DIG012,Intestinal obstruction and ileus
DIG013,Diverticulosis and diverticulitis
DIG014,Hemorrhoids
DIG015,Anal and rectal conditions
DIG016,Peritonitis and intra-abdominal abscess
DIG017,Biliary tract disease
DIG018,Hepatic failure
DIG019,Other specified and unspecified liver disease
DIG020,Pancreatic disorders (excluding diabetes)
DIG021,Gastrointestinal hemorrhage
DIG022,Noninfectious gastroenteritis
DIG023,Noninfectious hepatitis
DIG024,Postprocedural or postoperative digestive system complication
DIG025,Other specified and unspecified gastrointestinal disorders
EAR001,Otitis media
EAR002,Diseases of middle ear and mastoid (except otitis media)
EAR003,Diseases of inner ear and related conditions
EAR004,Hearing loss
EAR005,Postprocedural or postoperative ear and/or mastoid process complication
EAR006,Other specified and unspecified disorders of the ear
END001,Thyroid disorders
END002,Diabetes mellitus without complication
END003,Diabetes mellitus with complication
END004,"Diabetes mellitus, Type 1"
END005,"Diabetes mellitus, Type 2"
END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type"
END007,Nutritional deficiencies
END008,Malnutrition
END009,Obesity
END010,Disorders of lipid metabolism
END011,Fluid and electrolyte disorders
END012,Cystic fibrosis
END013,Pituitary disorders
END014,Postprocedural or postoperative endocrine or metabolic complication
END015,Other specified and unspecified endocrine disorders
END016,Other specified and unspecified nutritional and metabolic disorders
END017,Sequela of malnutrition and other nutritional deficiencies
EXT001,External cause codes: cut/pierce; initial encounter
EXT002,External cause codes: drowning/submersion; initial encounter
EXT003,External cause codes: fall; initial encounter
EXT004,External cause codes: fire/burn; initial encounter
EXT005,External cause codes: firearm; initial encounter
EXT006,External cause codes: machinery; initial encounter
EXT007,External cause codes: motor vehicle traffic (MVT); initial encounter
EXT008,External cause codes: pedal cyclist; not MVT; initial encounter
EXT009,External cause codes: pedestrian; not MVT; initial encounter
EXT010,External cause codes: transport; not MVT; initial encounter
EXT011,External cause codes: natural/environment; initial encounter
EXT012,External cause codes: bites; initial encounter
EXT013,External cause codes: overexertion; initial encounter
EXT014,External cause codes: poisoning by drug
EXT015,External cause codes: poisoning by non-drug
EXT016,External cause codes: struck by; against; initial encounter
EXT017,External cause codes: suffocation/inhalation; initial encounter
EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter"
EXT019,External cause codes: unspecified mechanism
EXT020,"External cause codes: intent of injury, accidental/unintentional"
EXT021,"External cause codes: intent of injury, self-harm"
EXT022,"External cause codes: intent of injury, assault"
EXT023,"External cause codes: intent of injury, undetermined"
EXT024,"External cause codes: intent of injury, legal intervention/war"
EXT025,"External cause codes: complications of medical and surgical care, initial encounter"
EXT026,External cause codes: activity codes
EXT027,External cause codes: place of occurrence of the external cause
EXT028,External cause codes: evidence of alcohol involvement
EXT029,External cause codes: subsequent encounter
EXT030,External cause codes: sequela
EYE001,Cornea and external disease
EYE002,Cataract and other lens disorders
EYE003,Glaucoma
EYE004,Uveitis and ocular inflammation
EYE005,Retinal and vitreous conditions
EYE006,Neuro-ophthalmology
EYE007,Strabismus
