CONDITION_ID,CONDITION,CONDITION_COLUMN_NAME,CONDITION_CATEGORY,CODE,CODE_TYPE,INCLUSION_TYPE,ADDITIONAL_LOGIC
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F901,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F918,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F919,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F6381,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F902,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F908,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F912,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F913,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F630,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F632,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F633,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F911,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F6389,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F639,ICD-10-CM,Include,None
1,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Mental Health,F909,ICD-10-CM,Include,None
