"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"0270046","Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0270056","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0270066","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0270076","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0271046","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0271056","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0271066","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0271076","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0272046","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0272056","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0272066","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0272076","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0273046","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0273056","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0273066","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0273076","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700E6","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710E6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720E6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730E6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021608P","Bypass Right Atrium to Pulmonary Trunk with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021608Q","Bypass Right Atrium to Right Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021608R","Bypass Right Atrium to Left Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021609P","Bypass Right Atrium to Pulmonary Trunk with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021609Q","Bypass Right Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021609R","Bypass Right Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
