Code Set Name, Maintainer, Last updated,path
CMS Chronic Condition Hierarchy,CMS,11/12/2021,"/value-sets/chronic-conditions/cms-chronic-conditions"
Tuva Chronic Condition Hierarchy,Tuva,12/6/2022,"/value-sets/chronic-conditions/tuva-chronic-conditions"
Acute Diagnosis CCS,CMS,2/23/2022,"/value-sets/readmissions/acute-diagnosis-ccs"
Acute Diagnosis ICD 10 CM,CMS,2/23/2022,"/value-sets/readmissions/acute-diagnosis-icd-10-cm"
Always Planned CSS Diagnosis Category,CMS,2/23/2022,"/value-sets/readmissions/always-planned-css-diagnosis-category"
Always Planned CSS Procedure category,CMS,2/23/2022,"/value-sets/readmissions/always-planned-css-procedure-category"
Exclusion CCS Category,CMS,2/23/2022,"/value-sets/readmissions/exclusion-ccs-diagnosis-category"
ICD 10 CM to CCS,CMS,2/23/2022,"/value-sets/readmissions/icd-10-cm-to-ccs"
ICD 10 PCS to CCS,CMS,2/23/2022,"/value-sets/readmissions/icd-10-pcs-to-ccs"
Potentially Planned CSS Procedure category,CMS,2/23/2022,"/value-sets/readmissions/potentially-planned-css-procedure-category"
Potentially Planned ICD 10 PCS,CMS,2/23/2022,"/value-sets/readmissions/potentially-planned-icd-10-pcs"
Specialty Cohort,CMS,4/19/2022,"/value-sets/readmissions/specialty-cohort"
Surgery Gynegology Cohort,CMS,4/19/2022,"/value-sets/readmissions/surgery-gynecology-cohort"
Service Category,Tuva,10/20/2022,"/value-sets/service-category"
DXCCSR v2023_1 Body Systems,HCUP,5/18/2023,"/value-sets/dxccsr_v2023_1_body_systems"
DXCCSR v2023_1 Cleaned Map,HCUP,5/18/2023,"/value-sets/ccsr__dxccsr_v2023_1_cleaned_map"
PRCCSR v2023_1 Cleaned Map,HCUP,5/18/2023,"/value-sets/ccsr__prccsr_v2023_1_cleaned_map"
