npi,taxonomy_code,medicare_specialty_code,description,primary_flag
1063403145,207RR0500X,66,Rheumatology,1
1932103959,207RC0000X,11,Internal Medicine,1
1013918127,2085R0202X,30,Diagnostic Radiology,1
1306860580,207Q00000X,08,Family Practice,1
1255380036,207Q00000X,08,Family Practice,1
1932155645,207Q00000X,08,Family Practice,1
1689993180,207Y00000X,04,Otolaryngology,1
1790914299,207RC0001X,21,Clinical Cardiac Electrophysiology,1
1184666091,2085R0204X,94,Interventional Radiology,0
1992808752,333600000X,A5,Pharmacy,1
1063406965,207ND0101X,D7,Micrographic Dermatologic Surgery,1
1861435042,282N00000X,A0[7],Hospital-General,1
1093702508,2085R0202X,30,Diagnostic Radiology,1
1487623906,207R00000X,11,Internal Medicine,0
1568478071,207RP1001X,29,Pulmonary Disease,1
1962490052,207R00000X,11,Internal Medicine,1
1285691931,207RC0000X,11,Internal Medicine,0
1114903515,2085N0904X,36,Nuclear Medicine,0
1306883525,2085N0700X,13,Neurology,0
1912973785,207RP1001X,29,Pulmonary Disease,1
1700842275,2085R0204X,94,Interventional Radiology,0
1548262850,332BP3500X,,Parenteral & Enteral Nutrition,0
1952367799,207QS0010X,23,Sports Medicine,0
1679586705,207RC0000X,11,Internal Medicine,1
1093760183,111N00000X,35,Chiropractic,1
1891704474,207RC0000X,11,Internal Medicine,0
1346217635,207XX0004X,20,Orthopedic Surgery,1
1528056066,282N00000X,A0[7],Hospital-General,1
1124079090,207Q00000X,08,Family Practice,1
1821087859,207W00000X,18,Ophthalmology,1
1538174834,3336C0003X,A5,Pharmacy,0
1407982184,2085R0202X,30,Diagnostic Radiology,1
1861683187,207Q00000X,08,Family Practice,1
1942295936,208000000X,37,Pediatric Medicine,0
1841386133,363LF0000X,50,Nurse Practitioner,1
1053479089,363A00000X,97,Physician Assistant,1
1679553366,332BC3200X,,Customized Equipment,0
1356360192,2085R0202X,30,Diagnostic Radiology,1
1518960749,146L00000X,,Emergency Medical Technician/Paramedic,1
1558467084,2085D0003X,30,Diagnostic Radiology,0
1720297716,207Q00000X,08,Family Practice,1
1255380804,207R00000X,11,Internal Medicine,1
1609807122,282N00000X,A0[7],Hospital-General,1
1588656870,3416A0800X,59,Ambulance Service Provider,0
1962499178,2085R0202X,30,Diagnostic Radiology,1
1437193281,3336C0003X,A5,Pharmacy,1
1487623906,207RI0011X,C3,Interventional Cardiology,1
1508847088,207RN0300X,39,Nephrology,1
1679660021,207RC0200X,81,Critical Care,0
1730185547,2085R0202X,30,Diagnostic Radiology,1
1184611816,207R00000X,11,Internal Medicine,1
1992774673,2085R0001X,92,Radiation Oncology,1
1285638072,207X00000X,20,Orthopedic Surgery,1
1316975964,207Q00000X,08,Family Practice,1
1548219231,207Q00000X,08,Family Practice,1
1396794046,207Q00000X,08,Family Practice,1
1104866391,2085R0202X,30,Diagnostic Radiology,1
1154381069,207Q00000X,08,Family Practice,1
1154315083,2085R0202X,30,Diagnostic Radiology,1
1578768131,2085R0202X,30,Diagnostic Radiology,0
1306883525,2085R0202X,30,Diagnostic Radiology,1
1790898666,332B00000X,87[3],All Other Suppliers,1
1134155518,111N00000X,35,Chiropractic,1
1114980901,207RI0011X,C3,Interventional Cardiology,0
1902872674,208M00000X,C6,Hospitalist,0
1932166386,291U00000X,B4[14],Histocompatibility Laboratory,1
1063497451,291U00000X,B4[14],Histocompatibility Laboratory,1
1841261567,332BX2000X,B1,Oxygen supplier,1
1487602207,207N00000X,07,Dermatology,1
1902804552,282N00000X,A0[7],Hospital-General,1
1063404929,207RC0000X,11,Internal Medicine,1
1518985027,3336C0003X,A5,Pharmacy,1
1003889924,207RC0000X,11,Internal Medicine,1
