bill_type_code,bill_type_description,deprecated,deprecated_date
"110","Hospital Inpatient (Part A) Non-payment/Zero Claim","0",
"111","Hospital Inpatient (Part A) Admit Through Discharge","0",
"112","Hospital Inpatient (Part A) Interim - First Claim","0",
"113","Hospital Inpatient (Part A) Interim-Continuing Claims","0",
"114","Hospital Inpatient (Part A) Interim - Last Claim","0",
"115","Hospital Inpatient (Part A) Late Charge Only","0",
"117","Hospital Inpatient (Part A) Replacement of Prior Claim","0",
"118","Hospital Inpatient (Part A) Void/Cancel of Prior Claim","0",
"119","Hospital Inpatient (Part A) Final claim for a Home Health PPS Period","0",
"11A","Hospital Inpatient (Part A) Admission/Election Notice for Hospice","0",
"11B","Hospital Inpatient (Part A) Hospice Termination/ Revocation Notice","0",
"11C","Hospital Inpatient (Part A) Hospice Change of Provider Notice","0",
"11D","Hospital Inpatient (Part A) Hospice Election Void/Cancel","0",
"11E","Hospital Inpatient (Part A) Hospice Change of Ownership","0",
"11F","Hospital Inpatient (Part A) Beneficiary Initiated Adjustment Claim","0",
"11G","Hospital Inpatient (Part A) CWF Initiated Adjustment Claim","0",
"11H","Hospital Inpatient (Part A) CMS Initiated Adjustment Claim","0",
"11I","Hospital Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","0",
"11J","Hospital Inpatient (Part A) Initiated Adjustment Claim/Other","0",
"11K","Hospital Inpatient (Part A) OIG Initiated Adjustment Claim","0",
"11M","Hospital Inpatient (Part A) MSP Initiated Adjustment Claim","0",
"11O","Hospital Inpatient (Part A) Nonpayment/Zero Claims","0",
"11P","Hospital Inpatient (Part A) QIO Adjustment Claim","0",
"11Q","Hospital Inpatient (Part A) Reopening/Adjustment","0",
"11X","Hospital Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"11Y","Hospital Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","0",
"11Z","Hospital Inpatient (Part A) New Abbreviated Encounter Submission","0",
"120","Hospital Inpatient (Part B) Non-payment/Zero Claim","0",
