hcpcs_code,ccs_category,ccs_category_description
0735T,1,Incision and excision of CNS
61000,1,Incision and excision of CNS
61001,1,Incision and excision of CNS
61020,1,Incision and excision of CNS
61026,1,Incision and excision of CNS
61050,1,Incision and excision of CNS
61055,1,Incision and excision of CNS
61105,1,Incision and excision of CNS
61108,1,Incision and excision of CNS
61120,1,Incision and excision of CNS
61150,1,Incision and excision of CNS
61151,1,Incision and excision of CNS
61154,1,Incision and excision of CNS
61156,1,Incision and excision of CNS
61250,1,Incision and excision of CNS
61253,1,Incision and excision of CNS
61304,1,Incision and excision of CNS
61305,1,Incision and excision of CNS
61312,1,Incision and excision of CNS
61313,1,Incision and excision of CNS
61314,1,Incision and excision of CNS
61315,1,Incision and excision of CNS
61320,1,Incision and excision of CNS
61321,1,Incision and excision of CNS
61322,1,Incision and excision of CNS
61323,1,Incision and excision of CNS
61340,1,Incision and excision of CNS
61345,1,Incision and excision of CNS
61510,1,Incision and excision of CNS
61512,1,Incision and excision of CNS
61514,1,Incision and excision of CNS
61516,1,Incision and excision of CNS
61518,1,Incision and excision of CNS
61519,1,Incision and excision of CNS
61520,1,Incision and excision of CNS
61521,1,Incision and excision of CNS
61522,1,Incision and excision of CNS
61524,1,Incision and excision of CNS
61526,1,Incision and excision of CNS
61530,1,Incision and excision of CNS
61534,1,Incision and excision of CNS
61535,1,Incision and excision of CNS
61536,1,Incision and excision of CNS
61537,1,Incision and excision of CNS
61538,1,Incision and excision of CNS
61539,1,Incision and excision of CNS
61540,1,Incision and excision of CNS
61541,1,Incision and excision of CNS
61543,1,Incision and excision of CNS
61544,1,Incision and excision of CNS
61545,1,Incision and excision of CNS
61556,1,Incision and excision of CNS
61557,1,Incision and excision of CNS
61570,1,Incision and excision of CNS
61571,1,Incision and excision of CNS
61575,1,Incision and excision of CNS
61576,1,Incision and excision of CNS
61582,1,Incision and excision of CNS
61583,1,Incision and excision of CNS
61584,1,Incision and excision of CNS
61585,1,Incision and excision of CNS
61586,1,Incision and excision of CNS
61590,1,Incision and excision of CNS
61591,1,Incision and excision of CNS
61592,1,Incision and excision of CNS
61595,1,Incision and excision of CNS
61596,1,Incision and excision of CNS
61598,1,Incision and excision of CNS
61600,1,Incision and excision of CNS
61601,1,Incision and excision of CNS
61605,1,Incision and excision of CNS
