hcpcs,seqnum,recid,long_description,short_description
A1,0010,7,Dressing for one wound,Dressing for one wound
A2,0010,7,Dressing for two wounds,Dressing for two wounds
A3,0010,7,Dressing for three wounds,Dressing for three wounds
A4,0010,7,Dressing for four wounds,Dressing for four wounds
A5,0010,7,Dressing for five wounds,Dressing for five wounds
A6,0010,7,Dressing for six wounds,Dressing for six wounds
A7,0010,7,Dressing for seven wounds,Dressing for seven wounds
A8,0010,7,Dressing for eight wounds,Dressing for eight wounds
A9,0010,7,Dressing for nine or more wounds,Dressing for 9 or more wound
AA,0010,7,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst
AD,0010,7,Medical supervision by a physician: more than four concurrent anesthesia procedures,"Md supervision, >4 anes proc"
AE,0010,7,Registered dietician,Registered dietician
AF,0010,7,Specialty physician,Specialty physician
AG,0010,7,Primary physician,Primary physician
AH,0010,7,Clinical psychologist,Clinical psychologist
AI,0010,7,Principal physician of record,Principal physician of rec
AJ,0010,7,Clinical social worker,Clinical social worker
AK,0010,7,Non participating physician,Non participating physician
AM,0010,7,"Physician, team member service","Physician, team member svc"
AO,0010,7,Alternate payment method declined by provider of service,Prov declined alt pmt method
AP,0010,7,Determination of refractive state was not performed in the course of diagnostic ophthalmological examination,No dtmn of refractive state
AQ,0010,7,Physician providing a service in an unlisted health professional shortage area (hpsa),Physician service hpsa area
AR,0010,7,Physician provider services in a physician scarcity area,Physician scarcity area
AS,0010,7,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery",Assistant at surgery service
AT,0010,7,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",Acute treatment
AU,0010,7,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item"
AV,0010,7,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic
AW,0010,7,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing
AX,0010,7,Item furnished in conjunction with dialysis services,Item w dialysis services
AY,0010,7,Item or service furnished to an esrd patient that is not for the treatment of esrd,Item/service not for esrd tx
AZ,0010,7,Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment,Physician serv in dent hpsa
BA,0010,7,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services
BL,0010,7,Special acquisition of blood and blood products,Spec acquisition blood prods
BO,0010,7,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube
BP,0010,7,The beneficiary has been informed of the purchase and rental options and has elected to purchase the item,Bene electd to purchase item
BR,0010,7,The beneficiary has been informed of the purchase and rental options and has elected to rent the item,Bene elected to rent item
BU,0010,7,The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision,Bene undecided on purch/rent
CA,0010,7,Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission,Procedure payable inpatient
CB,0010,7,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable",Esrd bene part a snf-sep pay
CC,0010,7,Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed),Procedure code change
CD,0010,7,Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable,Amcc test for esrd or mcp md
CE,0010,7,Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity,Med neces amcc tst sep reimb
CF,0010,7,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,Amcc tst not composite rate
CG,0010,7,Policy criteria applied,Policy criteria applied
CH,0010,7,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res"
CI,0010,7,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired
CJ,0010,7,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired
CK,0010,7,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired
CL,0010,7,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired
CM,0010,7,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired
CN,0010,7,"100 percent impaired, limited or restricted","100 percent impaired, ltd"
CO,0010,7,Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant,Outpatient ot service by ota
CP,0010,7,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim",C-apc adjunctive service
CQ,0010,7,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant,Outpatient pt service by pta
CR,0010,7,Catastrophe/disaster related,Catastrophe/disaster related
CS,0010,7,Cost-sharing waived for specified covid-19 testing-related services that result in and order for or administration of a covid-19 test and/or used for cost-sharing waived preventive services furnished via telehealth in rural health clinics and federally qualified health centers during the covid-19 public health emergency,Cost share waiver covid-19
CT,0010,7,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard,Ct does not meet nema standa
