"icd_9_pcs","long_description","short_description"
0001,Therapeutic ultrasound of vessels of head and neck,Ther ult head & neck ves
0002,Therapeutic ultrasound of heart,Ther ultrasound of heart
0003,Therapeutic ultrasound of peripheral vascular vessels,Ther ult peripheral ves
0009,Other therapeutic ultrasound,Other therapeutic ultsnd
0010,Implantation of chemotherapeutic agent,Implant chemothera agent
0011,Infusion of drotrecogin alfa (activated),Infus drotrecogin alfa
0012,Administration of inhaled nitric oxide,Adm inhal nitric oxide
0013,Injection or infusion of nesiritide,Inject/infus nesiritide
0014,Injection or infusion of oxazolidinone class of antibiotics,Injection oxazolidinone
0015,High-dose infusion interleukin-2 [IL-2],High-dose infusion IL-2
0016,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,Pressurized treat graft
0017,Infusion of vasopressor agent,Infusion of vasopressor
0018,Infusion of immunosuppressive antibody therapy,Infus immunosup antibody
0019,Disruption of blood brain barrier via infusion [BBBD],BBBD via infusion
0021,Intravascular imaging of extracranial cerebral vessels,IVUS extracran cereb ves
0022,Intravascular imaging of intrathoracic vessels,IVUS intrathoracic ves
0023,Intravascular imaging of peripheral vessels,IVUS peripheral vessels
0024,Intravascular imaging of coronary vessels,IVUS coronary vessels
0025,Intravascular imaging of renal vessels,IVUS renal vessels
0028,"Intravascular imaging, other specified vessel(s)",Intravascul imaging NEC
0029,"Intravascular imaging, unspecified vessel(s)",Intravascul imaging NOS
0031,Computer assisted surgery with CT/CTA,CAS w CT/CTA
0032,Computer assisted surgery with MR/MRA,CAS w MR/MRA
0033,Computer assisted surgery with fluoroscopy,CAS w fluoroscopy
0034,Imageless computer assisted surgery,Imageless comp asst surg
0035,Computer assisted surgery with multiple datasets,CAS w multiple datasets
0039,Other computer assisted surgery,Other CAS
0040,Procedure on single vessel,Procedure-one vessel
0041,Procedure on two vessels,Procedure-two vessels
0042,Procedure on three vessels,Procedure-three vessels
0043,Procedure on four or more vessels,Procedure-four+ vessels
0044,Procedure on vessel bifurcation,Proc-vessel bifurcation
0045,Insertion of one vascular stent,Insert 1 vascular stent
0046,Insertion of two vascular stents,Insert 2 vascular stents
0047,Insertion of three vascular stents,Insert 3 vascular stents
0048,Insertion of four or more vascular stents,Insert 4+ vasculr stents
0049,Supersaturated oxygen therapy,SuperSat O2 therapy
0050,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",Impl CRT pacemaker sys
0051,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",Impl CRT defibrillat sys
0052,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,Imp/rep lead lf ven sys
0053,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],Imp/rep CRT pacemakr gen
0054,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],Imp/rep CRT defib genat
0055,Insertion of drug-eluting stent(s) of other peripheral vessel(s),Ins d-e stent oth periph
