hcpcs,nitos,description,invasive_non_invasive,modality,body_region,focus_area
70010,I999,Contrast x-ray of brain ,Invasive,Invasive,Invasive,None (Invasive procedures)
70015,I999,Contrast x-ray of brain ,Invasive,Invasive,Invasive,None (Invasive procedures)
70030,N720,X-ray eye for foreign body,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70100,N724,X-ray exam of jaw  <4views,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70110,N724,X-ray exam of jaw 4/> views,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70120,N720,X-ray exam of mastoids ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70130,N724,X-ray exam of mastoids ,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70134,N720,X-ray exam of middle ear ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70140,N724,X-ray exam of facial bones ,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70150,N724,X-ray exam of facial bones,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70160,N724,X-ray exam of nasal bones ,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70170,N720,X-ray exam of tear duct ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70190,N724,X-ray exam of eye sockets ,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70200,N724,X-ray exam of eye sockets,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70210,N724,X-ray exam of sinuses ,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70220,N724,X-ray exam of sinuses ,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70240,N710,"X-ray exam, pituitary saddle ",Non-Invasive,Radiography,Brain,None (Non-invasive procedures)
70250,N724,X-ray exam of skull,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70260,N724,X-ray exam of skull ,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70300,N721,X-ray exam of teeth,Non-Invasive,Radiography,Head/neck,Dental
70310,N721,X-ray exam of teeth ,Non-Invasive,Radiography,Head/neck,Dental
70320,N721,Full mouth x-ray of teeth ,Non-Invasive,Radiography,Head/neck,Dental
70328,N720,X-ray exam of jaw joint,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70330,N720,X-ray exam of jaw joints ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70332,I999,"Temporomandibular joint arthrography, radiological supervision and interpretation",Invasive,Invasive,Invasive,None (Invasive procedures)
70336,N424,Magnetic image jaw joint,Non-Invasive,Magnetic resonance,Head/neck,Musculoskeletal
70350,N721,X-ray head for orthodontia ,Non-Invasive,Radiography,Head/neck,Dental
70355,N724,Panoramic x-ray of jaws,Non-Invasive,Radiography,Head/neck,Musculoskeletal
70360,N720,X-ray exam of neck ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70370,N720,Throat x-ray & fluoroscopy ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70371,N720,Speech evaluation complex ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70373,N720,Contrast x-ray of larynx ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70380,N720,X-ray exam of salivary gland ,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
70390,I999,X-ray exam of salivary duct ,Invasive,Invasive,Invasive,None (Invasive procedures)
70450,N310,Ct head/brain w/o dye ,Non-Invasive,Computerized tomography,Brain,None (Non-invasive procedures)
70460,N310,Ct head/brain w/dye ,Non-Invasive,Computerized tomography,Brain,None (Non-invasive procedures)
70470,N310,Ct head/brain w/o & w/dye,Non-Invasive,Computerized tomography,Brain,None (Non-invasive procedures)
70480,N320,Ct orbit/ear/fossa w/o dye ,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70481,N320,Ct orbit/ear/fossa w/dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70482,N320,Ct orbit/ear/fossa w/o&w/dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70486,N320,Ct maxillofacial w/o dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70487,N320,Ct maxillofacial w/dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70488,N320,Ct maxillofacial w/o & w/dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70490,N320,Ct soft tissue neck w/o dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70491,N320,Ct soft tissue neck w/dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70492,N320,Ct sft tsue nck w/o & w/dye,Non-Invasive,Computerized tomography,Head/neck,None (Non-invasive procedures)
70496,N316,Ct angiography head,Non-Invasive,Computerized tomography,Brain,Vascular
70498,N326,Ct angiography neck,Non-Invasive,Computerized tomography,Head/neck,Vascular
70540,N420,Mri orbit/face/neck w/o dye,Non-Invasive,Magnetic resonance,Head/neck,None (Non-invasive procedures)
70541,N426,MR Angio Head/Neck,Non-Invasive,Magnetic resonance,Head/neck,Vascular
70542,N420,Mri orbit/face/neck w/dye,Non-Invasive,Magnetic resonance,Head/neck,None (Non-invasive procedures)
70543,N420,Mri orbt/fac/nck w/o &w/dye,Non-Invasive,Magnetic resonance,Head/neck,None (Non-invasive procedures)
70544,N416,Mr angiography head w/o dye,Non-Invasive,Magnetic resonance,Brain,Vascular
70545,N416,Mr angiography head w/dye,Non-Invasive,Magnetic resonance,Brain,Vascular
70546,N416,Mr angiograph head w/o&w/dye ,Non-Invasive,Magnetic resonance,Brain,Vascular
70547,N426,Mr angiography neck w/o dye,Non-Invasive,Magnetic resonance,Head/neck,Vascular
70548,N426,Mr angiography neck w/dye,Non-Invasive,Magnetic resonance,Head/neck,Vascular
