pqi_number,pqi_name,pqi_description
"01","Diabetes Short-Term Complications Admission Rate","Hospitalizations for a principal diagnosis of diabetes with short-term complications (ketoacidosis, hyperosmolarity, or coma) per 100,000 population, ages 18 years and older."
"03","Diabetes Long-Term Complications Admission Rate","Hospitalizations for a principal diagnosis of diabetes with long-term complications (renal, eye, neurological, circulatory, other specified, or unspecified) per 100,000 population, ages 18 years and older."
"05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults","Hospitalizations with a principal diagnosis of chronic obstructive pulmonary disease (COPD) or asthma per 100,000 population, ages 40 years and older."
"07","Hypertension Admission Rate","Hospitalizations with a principal diagnosis of hypertension per 100,000 population, ages 18 years and older."
"08","Heart Failure Admission Rate","Hospitalizations with a principal diagnosis of heart failure per 100,000 population, ages 18 years and older."
"11","Community Acquired Pneumonia Admission Rate","Hospitalizations with a principal diagnosis of community-acquired bacterial pneumonia per 100,000 population, ages 18 years or older."
"12","Urinary Tract Infection Admission Rate","Hospitalizations with a principal diagnosis of urinary tract infection per 100,000 population, ages 18 years and older."
"14","Uncontrolled Diabetes Admission Rate","Hospitalizations for a principal diagnosis of uncontrolled diabetes without mention of short-term (ketoacidosis, hyperosmolarity, or coma) or long-term (renal, eye, neurological, circulatory, other specified, or unspecified) complications per 100,000 population, ages 18 years and older."
"15","Asthma in Younger Adults Admission Rate","Hospitalizations for a principal diagnosis of asthma per 100,000 population, ages 18 to 39 years."
"16","Lower-Extremity Amputation Among Patients with Diabetes Rate","Hospitalizations for diabetes and a procedure of lower-extremity amputation (except toe amputations) per 100,000 population, ages 18 years and older."
