code,value_set_name,pqi_number
0210083,cardiac_procedure_codes,appendix_b
0210088,cardiac_procedure_codes,appendix_b
0210089,cardiac_procedure_codes,appendix_b
021008C,cardiac_procedure_codes,appendix_b
021008F,cardiac_procedure_codes,appendix_b
021008W,cardiac_procedure_codes,appendix_b
0210093,cardiac_procedure_codes,appendix_b
0210098,cardiac_procedure_codes,appendix_b
0210099,cardiac_procedure_codes,appendix_b
021009C,cardiac_procedure_codes,appendix_b
021009F,cardiac_procedure_codes,appendix_b
021009W,cardiac_procedure_codes,appendix_b
02100A3,cardiac_procedure_codes,appendix_b
02100A8,cardiac_procedure_codes,appendix_b
02100A9,cardiac_procedure_codes,appendix_b
02100AC,cardiac_procedure_codes,appendix_b
02100AF,cardiac_procedure_codes,appendix_b
02100AW,cardiac_procedure_codes,appendix_b
02100J3,cardiac_procedure_codes,appendix_b
02100J8,cardiac_procedure_codes,appendix_b
02100J9,cardiac_procedure_codes,appendix_b
02100JC,cardiac_procedure_codes,appendix_b
02100JF,cardiac_procedure_codes,appendix_b
02100JW,cardiac_procedure_codes,appendix_b
02100K3,cardiac_procedure_codes,appendix_b
02100K8,cardiac_procedure_codes,appendix_b
02100K9,cardiac_procedure_codes,appendix_b
02100KC,cardiac_procedure_codes,appendix_b
02100KF,cardiac_procedure_codes,appendix_b
02100KW,cardiac_procedure_codes,appendix_b
02100Z3,cardiac_procedure_codes,appendix_b
02100Z8,cardiac_procedure_codes,appendix_b
02100Z9,cardiac_procedure_codes,appendix_b
02100ZC,cardiac_procedure_codes,appendix_b
02100ZF,cardiac_procedure_codes,appendix_b
0210344,cardiac_procedure_codes,appendix_b
02103D4,cardiac_procedure_codes,appendix_b
0210444,cardiac_procedure_codes,appendix_b
0210483,cardiac_procedure_codes,appendix_b
0210488,cardiac_procedure_codes,appendix_b
0210489,cardiac_procedure_codes,appendix_b
021048C,cardiac_procedure_codes,appendix_b
021048F,cardiac_procedure_codes,appendix_b
021048W,cardiac_procedure_codes,appendix_b
0210493,cardiac_procedure_codes,appendix_b
0210498,cardiac_procedure_codes,appendix_b
0210499,cardiac_procedure_codes,appendix_b
021049C,cardiac_procedure_codes,appendix_b
021049F,cardiac_procedure_codes,appendix_b
021049W,cardiac_procedure_codes,appendix_b
02104A3,cardiac_procedure_codes,appendix_b
02104A8,cardiac_procedure_codes,appendix_b
02104A9,cardiac_procedure_codes,appendix_b
