body_system,ccsr_parent_category,parent_category_description
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,BLD,"BLD contains 10 categories that include diseases related to the blood, diseases of blood-forming organs, and certain disorders involving the immune mechanism such as nutritional anemia, sickle cell/trait anemia, and immunity disorders."
Diseases of the circulatory system,CIR,"CIR contains 39 categories that include diseases of the circulatory system such as essential hypertension, acute myocardial infarction, heart failure, and cerebral infarction."
Dental diseases (added in v2023.1),DEN,"DEN contains 3 categories that distinguish any dental condition (including traumatic injury), nontraumatic dental conditions (a subset of any dental condition), and caries, periodontitis, and other preventable dental conditions (a subset of nontraumatic dental conditions that are often treated in a dentist’s office)."
Diseases of the digestive system,DIG,"DIG contains 25 categories that include diseases of the digestive system such as appendicitis and other appendiceal conditions, hepatic failure, diverticulosis and diverticulitis, and intestinal infection."
Diseases of the ear and mastoid process,EAR,"EAR contains 6 categories that include diseases of the ear and mastoid process such as otitis media, diseases of the inner ear, and hearing loss."
"Endocrine, nutritional, and metabolic diseases",END,"END contains 17 categories that include endocrine, nutritional, and metabolic diseases such as thyroid disorders, diabetes mellitus, obesity, and cystic fibrosis."
External causes of morbidity,EXT,EXT contains 30 categories related to external causes of morbidity that specific the mechanism of the injury such as fall or cut/pierce and the intent of the injury such as accidental/unintentional or self-harm.
Diseases of the eye and adnexa,EYE,"EYE contains 12 categories that include diseases of the eye and adnexa such as glaucoma, cataract and other lens disorders, and blindness and vision effects."
Factors influencing health status and contact with health services,FAC,"FAC contains 25 categories related to factors influencing health status and contact with health services such as aftercare, organ transplant status, or exposure, encounters, screening or contact with infectious disease."
Diseases of the genitourinary system,GEN,"GEN contains 26 categories that include diseases of the genitourinary system such as chronic kidney disease, urinary tract infections, and acute and unspecified renal failure."
Certain infectious and parasitic diseases,INF,"INF contains 12 categories that include infections and parasitic diseases such as tuberculosis, septicemia, hepatitis, and the coronavirus disease – 2019 (COVID-19)."
"Injury, poisoning and certain other consequences of external causes",INJ,"INJ contains 76 categories related to injuries, poisoning, and certain other consequences of external causes such as traumatic brain injury (TBI), allergic reactions, maltreatment/abuse, and poisoning by drugs."
"Congenital malformations, deformations and chromosomal abnormalities",MAL,"MAL contains 10 categories that include congenital malformations, deformations, and chromosomal abnormalities such as cleft lip or palate and cardiac and circulatory congenital anomalies."
"Mental, behavioral, and neurodevelopmental disorders",MBD,"MBD contains 32 categories that include mental, behavioral, and neurodevelopmental disorders such as depressive disorders, alcohol-related disorders, and suicide ideation/attempt/intentional self-harm."
Diseases of the musculoskeletal system and connective tissue,MUS,"MUS contains 38 categories that include diseases of the musculoskeletal system and connective tissue such as osteoarthritis, gout, low back pain, and spondylopathies/spondyloarthropathy (including inf ective)."
Neoplasms,NEO,"NEO contains 74 categories specific to neoplasms, which include malignant neoplasms such as gastrointestinal cancers, skin cancers, and breast cancer, as well as most benign neoplasms."
Diseases of the nervous system,NVS,"NVS contains 22 categories that include diseases of the nervous system such as Parkinson’s disease, cerebral palsy, neurocognitive disorders, and headache (including migraine)."
Certain conditions originating in the perinatal period,PNL,"PNL contains 15 categories that include certain conditions originating in the perinatal period such as liveborn, respiratory distress syndrome, and fetal alcohol syndrome."
"Pregnancy, childbirth, and the puerperium",PRG,"PRG contains 30 categories related to pregnancy, childbirth, and the puerperium such as ectopic pregnancy and complications, early or threatened labor, and diabetes or abnormal glucose tolerance complicating pregnancy, childbirth or the puerperium."
Diseases of the respiratory system,RSP,"RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax."
Diseases of the skin and subcutaneous tissue,SKN,SKN contains 7 categories that include diseases of the skin and subcutaneous tissue such as pressure ulcers and contact dermatitis.
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",SYM,"SYM contains 17 categories related to symptoms, signs, and abnormal clinical or laboratory findings, not elsewhere classified such as fever, nausea and vomiting, and malaise and fatigue."
