condition_id,condition,condition_column_name,chronic_condition_type,condition_category,additional_logic,claims_qualification,inclusion_type,code_system,code
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I230
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I231
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I232
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I233
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I234
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I235
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I236
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I237
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I238
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I2101
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I2102
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I2109
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I2111
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I2119
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I2121
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I2129
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I213
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I214
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I219
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I21A1
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I21A9
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I220
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I221
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I222
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I228
1,Acute Myocardial Infarction,acute_myocardial_infarction,Common,Cardiovascular Disease,None,At least 1 inpatient claim with DX codes,Include,ICD-10-CM,I229
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F630
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F631
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F632
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F633
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F6381
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F6389
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F639
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F900
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F901
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F902
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F908
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F909
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F910
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F911
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F912
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F913
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F918
2,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",adhd_conduct_disorders_and_hyperkinetic_syndrome,Other chronic or potentially disabling conditions,Mental Health,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type with DX codes,Include,ICD-10-CM,F919
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1010
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10120
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10121
