condition_family,condition,icd_10_cm_code,icd_10_cm_description,condition_column_name
Autoimmune Disease,Crohn's Disease,K5000,Crohn's disease of small intestine without complications,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50011,Crohn's disease of small intestine with rectal bleeding,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50012,Crohn's disease of small intestine with intestinal obstruction,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50013,Crohn's disease of small intestine with fistula,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50014,Crohn's disease of small intestine with abscess,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50018,Crohn's disease of small intestine with other complication,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50019,Crohn's disease of small intestine with unspecified complications,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K5010,Crohn's disease of large intestine without complications,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50111,Crohn's disease of large intestine with rectal bleeding,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50112,Crohn's disease of large intestine with intestinal obstruction,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50113,Crohn's disease of large intestine with fistula,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50114,Crohn's disease of large intestine with abscess,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50118,Crohn's disease of large intestine with other complication,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50119,Crohn's disease of large intestine with unspecified complications,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K5080,Crohn's disease of both small and large intestine without complications,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50811,Crohn's disease of both small and large intestine with rectal bleeding,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50812,Crohn's disease of both small and large intestine with intestinal obstruction,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50813,Crohn's disease of both small and large intestine with fistula,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50814,Crohn's disease of both small and large intestine with abscess,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50818,Crohn's disease of both small and large intestine with other complication,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50819,Crohn's disease of both small and large intestine with unspecified complications,CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K5090,"Crohn's disease, unspecified, without complications",CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50911,"Crohn's disease, unspecified, with rectal bleeding",CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50912,"Crohn's disease, unspecified, with intestinal obstruction",CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50913,"Crohn's disease, unspecified, with fistula",CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50914,"Crohn's disease, unspecified, with abscess",CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50918,"Crohn's disease, unspecified, with other complication",CROHNS_DISEASE
Autoimmune Disease,Crohn's Disease,K50919,"Crohn's disease, unspecified, with unspecified complications",CROHNS_DISEASE
Autoimmune Disease,Lupus,L93,Lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,L930,Discoid lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,L931,Subacute cutaneous lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,L932,Other local lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M32,Systemic lupus erythematosus (SLE),LUPUS
Autoimmune Disease,Lupus,M320,Drug-induced systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M321,Systemic lupus erythematosus with organ or system involvement,LUPUS
Autoimmune Disease,Lupus,M3210,"Systemic lupus erythematosus, organ or system involvement unspecified",LUPUS
Autoimmune Disease,Lupus,M3211,Endocarditis in systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M3212,Pericarditis in systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M3213,Lung involvement in systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M3214,Glomerular disease in systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M3215,Tubulo-interstitial nephropathy in systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M3219,Other organ or system involvement in systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M328,Other forms of systemic lupus erythematosus,LUPUS
Autoimmune Disease,Lupus,M329,"Systemic lupus erythematosus, unspecified",LUPUS
Autoimmune Disease,Rheumatoid Arthritis,M0500,"Felty's syndrome, unspecified site",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05011,"Felty's syndrome, right shoulder",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05012,"Felty's syndrome, left shoulder",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05019,"Felty's syndrome, unspecified shoulder",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05021,"Felty's syndrome, right elbow",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05022,"Felty's syndrome, left elbow",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05029,"Felty's syndrome, unspecified elbow",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05031,"Felty's syndrome, right wrist",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05032,"Felty's syndrome, left wrist",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05039,"Felty's syndrome, unspecified wrist",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05041,"Felty's syndrome, right hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05042,"Felty's syndrome, left hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05049,"Felty's syndrome, unspecified hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05051,"Felty's syndrome, right hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05052,"Felty's syndrome, left hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05059,"Felty's syndrome, unspecified hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05061,"Felty's syndrome, right knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05062,"Felty's syndrome, left knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05069,"Felty's syndrome, unspecified knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05071,"Felty's syndrome, right ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05072,"Felty's syndrome, left ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05079,"Felty's syndrome, unspecified ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0509,"Felty's syndrome, multiple sites",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0510,Rheumatoid lung disease with rheumatoid arthritis of unspecified site,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05111,Rheumatoid lung disease with rheumatoid arthritis of right shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05112,Rheumatoid lung disease with rheumatoid arthritis of left shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05119,Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05121,Rheumatoid lung disease with rheumatoid arthritis of right elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05122,Rheumatoid lung disease with rheumatoid arthritis of left elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05129,Rheumatoid lung disease with rheumatoid arthritis of unspecified elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05131,Rheumatoid lung disease with rheumatoid arthritis of right wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05132,Rheumatoid lung disease with rheumatoid arthritis of left wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05139,Rheumatoid lung disease with rheumatoid arthritis of unspecified wrist,RHEUMATOID_ARTHRITIS
