service_category_1,service_category_2,service_category_3,priority
Inpatient,Acute Inpatient,Medical,41
Inpatient,Acute Inpatient,Surgical,42
Inpatient,Labor and Delivery,Vaginal Delivery,5
Inpatient,Labor and Delivery,Ceasarean Section Delivery,6
Inpatient,Labor and Delivery,Newborn,7
Inpatient,Labor and Delivery,Newborn NICU,8
Inpatient,Labor and Delivery,Other,9
Inpatient,Inpatient Substance Use,Inpatient Substance Use,10
Outpatient,Outpatient Substance Use,Outpatient Substance Use,41
Inpatient,Acute Inpatient,Acute Inpatient - Other,9999
Ancillary,Ambulance,Ambulance,1
Outpatient,Ambulatory Surgery Center,Ambulatory Surgery Center,16
Outpatient,Dialysis,Dialysis,25
Ancillary,Durable Medical Equipment,Durable Medical Equipment,0
Outpatient,Emergency Department,Emergency Department,13
Outpatient,Home Health,Home Health,17
Outpatient,Outpatient Hospice,Outpatient Hospice,18
Inpatient,Inpatient Hospice,Inpatient Hospice,15
Inpatient,Inpatient Psychiatric,Inpatient Psychiatric,19
Inpatient,Inpatient Rehabilitation,Inpatient Rehabilitation,20
Ancillary,Lab,Lab,21
Other,Other,Other,999
Outpatient,Outpatient Hospital or Clinic,Outpatient Hospital or Clinic,99
Outpatient,Outpatient Psychiatric,Outpatient Psychiatric,23
Outpatient,Outpatient Rehabilitation,Outpatient Rehabilitation,24
Inpatient,Skilled Nursing,Skilled Nursing,14
Outpatient,Urgent Care,Urgent Care,2
Office-Based,Office-Based Other,Office-Based Other,27
Office-Based,Office-Based Visit,Office-Based Visit,28
Office-Based,Office-Based Pharmacy,Office-Based Pharmacy,42
Outpatient,Outpatient Pharmacy,Outpatient Pharmacy,43
Outpatient,Observation,Observation,29
Office-Based,Office-Based Surgery,Office-Based Surgery,30
Outpatient,Outpatient PT/OT/ST,Outpatient PT/OT/ST,31
Office-Based,Office-Based PT/OT/ST,Office-Based PT/OT/ST,32
Outpatient,Outpatient Radiology,General,33
Outpatient,Outpatient Radiology,CT,34
Outpatient,Outpatient Radiology,MRI,35
Outpatient,Outpatient Radiology,PET,36
Office-Based,Office-Based Radiology,General,37
Office-Based,Office-Based Radiology,CT,38
Office-Based,Office-Based Radiology,MRI,39
Office-Based,Office-Based Radiology,PET,40
