concept_id,concept_name,status,concept_oid,last_update_date,last_update_note,concept_type,content_source,external_source_detail,concept_scope,value_set_search_notes,code,code_description,coding_system_id,coding_system_version
1,Myocardial Infarction,reviewed,,2024-03-14,,condition,Tuva-developed,,"All codes that indicate myocardial infarction (MI) including prior MI, e.g. ""old myocardial infarction"".  Note that all MIs are acute at the time they occur, and the process of MI is not a chronic one.  Sometimes the phrase ""chronic MI"" is used to indicate an MI that occurred far enough in the past that the acute physiologic effects have stabilized.","Candidate codes were identified for review  based on search terms:
1. stemi
2. infarct 
and ICD-10-CM code range I21*-I124*",22298006,Myocardial infarction (disorder),1,http://snomed.info/sct/731000124108/version/20240301
2,Alcohol Use Disorder,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Specifically asserted ""alcohol use disorder""
2. Assertions of alcohol ""abuse""
3. Assertions of alcohol ""dependence""
4. Assertions of ""alcoholism""

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. References to alcohol use without further assertion of one of the included conditions listed above, even if one of the individual DSM-5 diagnostic criteria for alcohol use disorder (e.g. ""withdrawal"") is specified.

Scope note: The term ""use disorder"" with regard to psychoactive substances has become widespread since its adoption in DSM-5 in 2013.  By design, the phrase is intended to subsume the disease concepts of ""abuse"" and ""dependence"" of a psychoactive substance.  Not all use of a psychoactive substance meets the diagnostic criteria for use disorder, so this value set may not identify all individuals who are known to their health care team to use alcohol.  In addition, the diagnosis of a ""use disorder"" does not definitively indicate current use of the substance, as the diagnosis (with the qualification of ""in remission"") applies to individuals who are abstinent, even on a long-term basis, after having previously met the criteria for the use disorder.  Note also that individuals with health conditions caused by alcohol may not be captured by this value set as they may not meet the criteria of alcohol use disorder, particularly if they had an idiosyncratic response to a low or moderate level of alcohol consumption.","Candidate codes were identified for review based on search terms:
1. alcohol
2. ethanol",,,,
3,Alzheimer Disease,reviewed,,2024-03-18,,condition,Tuva-developed,,"Included:
1. Any assertion of Alzheimer's disease or Alzheimer's dementia

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Dementia without specification as to type","Candidate codes were identified for review based on search terms:
1. alzheimer
2. dementia
and ICD-10-CM code range G30.*",26929004,Alzheimer's disease (disorder),1,http://snomed.info/sct/731000124108/version/20240301
4,Amyotrophic Lateral Sclerosis,reviewed,,2024-03-14,,condition,Tuva-developed,,"Includes only codes that explicitly indicate the presence of amyotrophic lateral sclerosis (ALS), rather than other motor neuron diseases.  There is some ambiguity around classification of motor neuron diseases, since the diagnostic criteria are based on clinical features rather than more objective features like a laboratory test.  However, while other motor neuron diseases such as progressive muscular atrophy have been posited as a portion of the same disease spectrum as ALS, a conservative approach would be to distinguish them.","Candidate codes were identified for review based on search terms:
amyotroph",86044005,Amyotrophic lateral sclerosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
5,Anaplasmosis,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included: Any illness described as ""anaplasmosis"" or due to the organism Anaplasma phagocytophilum.  Note that the organism now known A. phagocytophilum was previously identified by the names Ehrlichia phagocytophila and Ehrlichia equi, and the illness caused by this organism, which is known known as ""human granulocytic anaplasmosis"", was previously known as ""human granulocytic ehrlichiosis"".

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Disease due to Ehrlichia chaffeensis, which is generally referedde to as ""human monocytic ehrlichiosis"" or sometimes just ""ehrlichiosis"".
2. Disease due to other species of the genus Ehrlichia, e.g. E. eqingii or E. muris eauclairensis","Candidate codes were identified for review based on search terms:
1. anaplasm
4. phagocytophil
3. ehrlich
4. ehrlich",13906002,Anaplasmosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
6,Anxiety Disorders,reviewed,,2024-03-14,,condition,Tuva-developed,,"In general, this concept includes anxiety disorders and other states characterized by high levels of and/or excessive anxiety.

Included:
1. Any ""anxiety disorder"" with or without further specification
2. Panic disorder
3. Panic attacks
4. Phobias
5. Adjustment disorder with anxiety or anxious mood
6. Anxiety disorder stipulated as being due to another condition, e.g. ""Anxiety disorder due to known physiological condition""
7. Non-anxiety disorders that have anxiety specified as a feature, e.g. ""Vascular dementia, moderate, with anxiety""

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Use of anxiolytic medication
2. Sleep disturbances or disorders
3. References to ""mood disorder"" without further specification of type e.g. depression, anxiety disorder, etc.
4. Use of term ""worried well""
5. References to psychological or psychosocial stress
6. Obsessive-compulsive disorder
7. Post-Traumatic Stress Disorder (PTSD).  While PTSD may involve profound anxiety, it is classified (e.g. in DSM-5-TR) separately from anxiety disorders, and anxiety is not specifically required for diagnosis.","Candidate codes were identified for review based on search terms:
1. anxi
2. fear
3. phobi
4. panic
5. afraid
6. scared
And ICD-10-CM code range: F40*-F41*",197480006,Anxiety disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
7,Asthma,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Concepts that specify asthma of any level of severity or type

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Bronchospasm, except that exercise-induced bronchospasm shall be in scope.
2. Bronchiolitis
3. Wheezing
4. ""Reactive airways disease"" (this is term that is variably used, and does not reliably indicate the presence of asthma as the latter is currently understood).","Candidate codes were identified for review based on search terms:
1. asthm
2. bronchospas",195967001,Asthma (disorder),1,http://snomed.info/sct/731000124108/version/20240301
8,Atrial Fibrillation,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Concepts that specify atrial fibrillation

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Atrial flutter
2. Ventricular arrhythmias","Candidate codes were identified for review based on search terms:
1. fibril
And ICD-10-CM code range: I48*-I49*",49436004,Atrial fibrillation (disorder),1,http://snomed.info/sct/731000124108/version/20240301
9,Attention Deficit-Hyperactivity Disorder,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Concepts that specify attention deficit disorder or attention deficit/hyperactivity disorder

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Unspecified mentions of attention difficulties
2. Unpsecified mentions of hyperactivity or impulsivity","Candidate codes were identified for review based on search terms:
1. adhd
2. attention
3. hyperact

And ICD-10-CM code range: F90.*",406506008,Attention deficit hyperactivity disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
10,Babesiosis,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Concepts that specify any disease due to organisms in the genus Babesia

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Disease due to organisms in the enus Theileria.  While these organisms are taxonomically related to Babesia, it is unclear whether they cause illness in humans and if/when they do, such illness would be unlikely to be referred to as ""babesiosis"".","Candidate codes were identified for review based on search terms:
1. babes",21061004,Babesiosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
