value_set_member_id,concept_id,status,last_update_date,last_update_note,code,code_description,coding_system_id,coding_system_version,include_descendants,comment
1,1,active,2024-03-18,,I21,Acute myocardial infarction,2,2024,false,
2,1,active,2024-03-18,,I210,ST elevation (STEMI) myocardial infarction of anterior wall,2,2024,false,
3,1,active,2024-03-18,,I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery,2,2024,false,
4,1,active,2024-03-18,,I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,2,2024,false,
5,1,active,2024-03-18,,I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,2,2024,false,
6,1,active,2024-03-18,,I211,ST elevation (STEMI) myocardial infarction of inferior wall,2,2024,false,
7,1,active,2024-03-18,,I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery,2,2024,false,
8,1,active,2024-03-18,,I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,2,2024,false,
9,1,active,2024-03-18,,I212,ST elevation (STEMI) myocardial infarction of other sites,2,2024,false,
10,1,active,2024-03-18,,I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,2,2024,false,
11,1,active,2024-03-18,,I2129,ST elevation (STEMI) myocardial infarction involving other sites,2,2024,false,
12,1,active,2024-03-18,,I213,ST elevation (STEMI) myocardial infarction of unspecified site,2,2024,false,
13,1,active,2024-03-18,,I214,Non-ST elevation (NSTEMI) myocardial infarction,2,2024,false,
14,1,active,2024-03-18,,I219,"Acute myocardial infarction, unspecified",2,2024,false,
15,1,active,2024-03-18,,I21A,Other type of myocardial infarction,2,2024,false,
16,1,active,2024-03-18,,I21A1,Myocardial infarction type 2,2,2024,false,
17,1,active,2024-03-18,,I21A9,Other myocardial infarction type,2,2024,false,
18,1,active,2024-03-18,,I21B,Myocardial infarction with coronary microvascular dysfunction,2,2024,false,
19,1,active,2024-03-18,,I22,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,2,2024,false,
20,1,active,2024-03-18,,I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,2,2024,false,
21,1,active,2024-03-18,,I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,2,2024,false,
22,1,active,2024-03-18,,I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction,2,2024,false,
23,1,active,2024-03-18,,I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites,2,2024,false,
24,1,active,2024-03-18,,I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,2,2024,false,
25,1,active,2024-03-18,,I23,Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period),2,2024,false,
26,1,active,2024-03-18,,I230,Hemopericardium as current complication following acute myocardial infarction,2,2024,false,
27,1,active,2024-03-18,,I231,Atrial septal defect as current complication following acute myocardial infarction,2,2024,false,
28,1,active,2024-03-18,,I232,Ventricular septal defect as current complication following acute myocardial infarction,2,2024,false,
29,1,active,2024-03-18,,I233,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,2,2024,false,
30,1,active,2024-03-18,,I234,Rupture of chordae tendineae as current complication following acute myocardial infarction,2,2024,false,
31,1,active,2024-03-18,,I235,Rupture of papillary muscle as current complication following acute myocardial infarction,2,2024,false,
