payment_year,hcpcs_cpt_code,included_flag
2019,C5271,yes
2019,C5273,yes
2019,C5275,yes
2019,C5277,yes
2019,C9600,yes
2019,C9602,yes
2019,C9604,yes
2019,C9606,yes
2019,C9607,yes
2019,C9727,yes
2019,C9734,yes
2019,C9739,yes
2019,C9740,yes
2019,C9745,yes
2019,C9746,yes
2019,C9747,yes
2019,C9749,yes
2019,C9750,yes
2019,C9751,yes
2019,C9752,yes
2019,C9754,yes
2019,C9755,yes
2019,G0071,yes
2019,G0129,yes
2019,G0151,yes
2019,G0152,yes
2019,G0153,yes
2019,G0155,yes
2019,G0159,yes
2019,G0160,yes
2019,G0161,yes
2019,G0186,yes
2019,G0245,yes
2019,G0246,yes
2019,G0248,yes
2019,G0249,yes
2019,G0250,yes
2019,G0257,yes
2019,G0259,yes
2019,G0260,yes
2019,G0268,yes
2019,G0276,yes
2019,G0339,yes
2019,G0340,yes
2019,G0341,yes
2019,G0342,yes
2019,G0343,yes
2019,G0372,yes
2019,G0378,yes
2019,G0379,yes
2019,G0380,yes
2019,G0381,yes
2019,G0382,yes
2019,G0383,yes
2019,G0384,yes
2019,G0396,yes
2019,G0397,yes
2019,G0402,yes
2019,G0406,yes
2019,G0407,yes
2019,G0408,yes
2019,G0409,yes
2019,G0412,yes
2019,G0413,yes
2019,G0414,yes
2019,G0415,yes
2019,G0425,yes
2019,G0426,yes
2019,G0427,yes
2019,G0429,yes
2019,G0438,yes
2019,G0439,yes
2019,G0443,yes
2019,G0447,yes
2019,G0448,yes
2019,G0455,yes
2019,G0458,yes
2019,G0459,yes
2019,G0460,yes
2019,G0463,yes
2019,G0466,yes
2019,G0467,yes
2019,G0468,yes
2019,G0469,yes
2019,G0470,yes
2019,G0473,yes
2019,G0491,yes
2019,G0492,yes
2019,G0498,yes
2019,G0508,yes
2019,G0509,yes
2019,G0511,yes
2019,G0512,yes
2019,G0515,yes
2019,G0516,yes
2019,G0517,yes
2019,G0518,yes
2019,G2000,yes
2019,G2010,yes
2019,G2011,yes
2019,G2012,yes
2019,G6003,yes
2019,G6004,yes
2019,G6005,yes
2019,G6006,yes
2019,G6007,yes
2019,G6008,yes
2019,G6009,yes
2019,G6010,yes
2019,G6011,yes
2019,G6012,yes
2019,G6013,yes
2019,G6014,yes
2019,G6015,yes
2019,G6016,yes
2019,G9481,yes
2019,G9482,yes
2019,G9483,yes
2019,G9484,yes
2019,G9485,yes
2019,G9486,yes
2019,G9487,yes
2019,G9488,yes
2019,G9489,yes
2019,G9679,yes
2019,G9680,yes
2019,G9681,yes
2019,G9682,yes
2019,G9683,yes
2019,G9684,yes
2019,G9685,yes
2019,G9978,yes
2019,G9979,yes
2019,G9980,yes
2019,G9981,yes
2019,G9982,yes
2019,G9983,yes
2019,G9984,yes
2019,G9985,yes
2019,G9986,yes
2019,M0075,yes
2019,M0076,yes
2019,M0100,yes
2019,M0300,yes
2019,M0301,yes
2019,00100,yes
2019,00102,yes
2019,00103,yes
2019,00104,yes
2019,00120,yes
2019,00124,yes
2019,00126,yes
2019,00140,yes
2019,00142,yes
2019,00144,yes
2019,00145,yes
2019,00147,yes
2019,00148,yes
2019,00160,yes
2019,00162,yes
2019,00164,yes
2019,00170,yes
2019,00172,yes
2019,00174,yes
2019,00176,yes
2019,00190,yes
2019,00192,yes
2019,00210,yes
2019,00211,yes
2019,00212,yes
2019,00214,yes
2019,00215,yes
2019,00216,yes
2019,00218,yes
2019,00220,yes
2019,00222,yes
2019,00300,yes
2019,00320,yes
2019,00322,yes
2019,00326,yes
2019,00350,yes
2019,00352,yes
2019,00400,yes
2019,00402,yes
2019,00404,yes
2019,00406,yes
2019,00410,yes
2019,00450,yes
2019,00454,yes
2019,00470,yes
2019,00472,yes
2019,00474,yes
2019,00500,yes
2019,00520,yes
2019,00522,yes
2019,00524,yes
2019,00528,yes
2019,00529,yes
2019,00530,yes
2019,00532,yes
2019,00534,yes
2019,00537,yes
2019,00539,yes
2019,00540,yes
2019,00541,yes
2019,00542,yes
2019,00546,yes
2019,00548,yes
2019,00550,yes
2019,00560,yes
2019,00561,yes
2019,00562,yes
2019,00563,yes
2019,00566,yes
2019,00567,yes
2019,00580,yes
2019,00600,yes
2019,00604,yes
2019,00620,yes
2019,00625,yes
2019,00626,yes
2019,00630,yes
2019,00632,yes
2019,00635,yes
2019,00640,yes
2019,00670,yes
2019,00700,yes
2019,00702,yes
2019,00730,yes
2019,00731,yes
2019,00732,yes
2019,00750,yes
2019,00752,yes
2019,00754,yes
2019,00756,yes
2019,00770,yes
2019,00790,yes
2019,00792,yes
2019,00794,yes
2019,00796,yes
2019,00797,yes
2019,00800,yes
2019,00802,yes
2019,00811,yes
2019,00812,yes
2019,00813,yes
2019,00820,yes
2019,00830,yes
2019,00832,yes
2019,00834,yes
2019,00836,yes
2019,00840,yes
2019,00842,yes
2019,00844,yes
2019,00846,yes
2019,00848,yes
2019,00851,yes
2019,00860,yes
2019,00862,yes
2019,00864,yes
2019,00865,yes
2019,00866,yes
2019,00868,yes
2019,00870,yes
2019,00872,yes
2019,00873,yes
2019,00880,yes
2019,00882,yes
2019,00902,yes
2019,00904,yes
2019,00906,yes
2019,00908,yes
2019,00910,yes
2019,00912,yes
2019,00914,yes
2019,00916,yes
2019,00918,yes
2019,00920,yes
2019,00921,yes
2019,00922,yes
2019,00924,yes
2019,00926,yes
2019,00928,yes
2019,00930,yes
2019,00932,yes
2019,00934,yes
2019,00936,yes
2019,00938,yes
2019,00940,yes
2019,00942,yes
2019,00944,yes
2019,00948,yes
2019,00950,yes
2019,00952,yes
2019,01112,yes
2019,01120,yes
2019,01130,yes
2019,01140,yes
2019,01150,yes
2019,01160,yes
2019,01170,yes
2019,01173,yes
2019,01200,yes
2019,01202,yes
2019,01210,yes
2019,01212,yes
2019,01214,yes
2019,01215,yes
2019,01220,yes
2019,01230,yes
2019,01232,yes
2019,01234,yes
2019,01250,yes
2019,01260,yes
2019,01270,yes
2019,01272,yes
2019,01274,yes
2019,01320,yes
2019,01340,yes
2019,01360,yes
2019,01380,yes
2019,01382,yes
2019,01390,yes
2019,01392,yes
2019,01400,yes
2019,01402,yes
2019,01404,yes
2019,01420,yes
2019,01430,yes
2019,01432,yes
2019,01440,yes
2019,01442,yes
2019,01444,yes
2019,01462,yes
2019,01464,yes
2019,01470,yes
2019,01472,yes
2019,01474,yes
2019,01480,yes
2019,01482,yes
2019,01484,yes
2019,01486,yes
2019,01490,yes
2019,01500,yes
2019,01502,yes
2019,01520,yes
2019,01522,yes
2019,01610,yes
2019,01620,yes
2019,01622,yes
2019,01630,yes
2019,01634,yes
2019,01636,yes
2019,01638,yes
2019,01650,yes
2019,01652,yes
2019,01654,yes
2019,01656,yes
2019,01670,yes
2019,01680,yes
2019,01710,yes
2019,01712,yes
2019,01714,yes
2019,01716,yes
2019,01730,yes
2019,01732,yes
2019,01740,yes
2019,01742,yes
2019,01744,yes
2019,01756,yes
2019,01758,yes
2019,01760,yes
2019,01770,yes
2019,01772,yes
2019,01780,yes
2019,01782,yes
2019,01810,yes
2019,01820,yes
2019,01829,yes
2019,01830,yes
2019,01832,yes
2019,01840,yes
2019,01842,yes
2019,01844,yes
2019,01850,yes
2019,01852,yes
2019,01860,yes
2019,01916,yes
2019,01920,yes
2019,01922,yes
2019,01924,yes
2019,01925,yes
2019,01926,yes
2019,01930,yes
2019,01931,yes
2019,01932,yes
2019,01933,yes
2019,01935,yes
2019,01936,yes
2019,01951,yes
2019,01952,yes
2019,01958,yes
2019,01960,yes
2019,01961,yes
2019,01962,yes
2019,01963,yes
2019,01965,yes
2019,01967,yes
2019,01990,yes
2019,01991,yes
2019,01992,yes
2019,01996,yes
2019,01999,yes
2019,10021,yes
2019,10030,yes
2019,10040,yes
2019,10060,yes
2019,10061,yes
2019,10080,yes
2019,10081,yes
2019,10120,yes
2019,10121,yes
2019,10140,yes
2019,10160,yes
2019,10180,yes
2019,11000,yes
2019,11004,yes
2019,11005,yes
2019,11006,yes
2019,11010,yes
2019,11011,yes
2019,11012,yes
2019,11042,yes
2019,11043,yes
2019,11044,yes
2019,11055,yes
2019,11056,yes
2019,11057,yes
2019,11200,yes
2019,11300,yes
2019,11301,yes
2019,11302,yes
2019,11303,yes
2019,11305,yes
2019,11306,yes
2019,11307,yes
2019,11308,yes
2019,11310,yes
2019,11311,yes
2019,11312,yes
2019,11313,yes
2019,11400,yes
2019,11401,yes
2019,11402,yes
2019,11403,yes
2019,11404,yes
2019,11406,yes
2019,11420,yes
2019,11421,yes
2019,11422,yes
2019,11423,yes
2019,11424,yes
2019,11426,yes
2019,11440,yes
2019,11441,yes
2019,11442,yes
2019,11443,yes
2019,11444,yes
2019,11446,yes
2019,11450,yes
2019,11451,yes
2019,11462,yes
2019,11463,yes
2019,11470,yes
2019,11471,yes
2019,11600,yes
2019,11601,yes
2019,11602,yes
2019,11603,yes
2019,11604,yes
2019,11606,yes
2019,11620,yes
2019,11621,yes
2019,11622,yes
2019,11623,yes
2019,11624,yes
2019,11626,yes
2019,11640,yes
2019,11641,yes
2019,11642,yes
2019,11643,yes
2019,11644,yes
2019,11646,yes
2019,11719,yes
2019,11720,yes
2019,11721,yes
2019,11730,yes
2019,11740,yes
2019,11750,yes
2019,11760,yes
2019,11762,yes
2019,11765,yes
2019,11770,yes
2019,11771,yes
2019,11772,yes
2019,11900,yes
2019,11901,yes
2019,11920,yes
2019,11921,yes
2019,11950,yes
2019,11951,yes
2019,11952,yes
2019,11954,yes
2019,11960,yes
2019,11970,yes
2019,11971,yes
2019,11976,yes
2019,11980,yes
2019,11981,yes
2019,11982,yes
2019,11983,yes
2019,12001,yes
2019,12002,yes
2019,12004,yes
2019,12005,yes
2019,12006,yes
2019,12007,yes
2019,12011,yes
2019,12013,yes
2019,12014,yes
2019,12015,yes
2019,12016,yes
2019,12017,yes
2019,12018,yes
2019,12020,yes
2019,12021,yes
2019,12031,yes
2019,12032,yes
2019,12034,yes
2019,12035,yes
2019,12036,yes
2019,12037,yes
2019,12041,yes
2019,12042,yes
2019,12044,yes
2019,12045,yes
2019,12046,yes
2019,12047,yes
2019,12051,yes
2019,12052,yes
2019,12053,yes
2019,12054,yes
2019,12055,yes
2019,12056,yes
2019,12057,yes
2019,13100,yes
2019,13101,yes
2019,13120,yes
2019,13121,yes
2019,13131,yes
2019,13132,yes
2019,13151,yes
2019,13152,yes
2019,13160,yes
2019,14000,yes
2019,14001,yes
2019,14020,yes
2019,14021,yes
2019,14040,yes
2019,14041,yes
2019,14060,yes
2019,14061,yes
2019,14301,yes
2019,14350,yes
2019,15002,yes
2019,15004,yes
2019,15040,yes
2019,15050,yes
2019,15100,yes
2019,15110,yes
2019,15115,yes
2019,15120,yes
2019,15130,yes
2019,15135,yes
2019,15150,yes
2019,15155,yes
2019,15200,yes
2019,15220,yes
2019,15240,yes
2019,15260,yes
