payment_year,diagnosis_code,cms_hcc_v24,cms_hcc_v24_flag
2019,A0103,115,Yes
2019,A0104,39,Yes
2019,A0105,39,Yes
2019,A021,2,Yes
2019,A0222,115,Yes
2019,A0223,39,Yes
2019,A0224,39,Yes
2019,A065,115,Yes
2019,A072,6,Yes
2019,A202,115,Yes
2019,A207,2,Yes
2019,A212,115,Yes
2019,A221,115,Yes
2019,A227,2,Yes
2019,A267,2,Yes
2019,A310,6,Yes
2019,A312,6,Yes
2019,A327,2,Yes
2019,A3681,85,Yes
2019,A3684,,No
2019,A391,23,Yes
2019,A392,2,Yes
2019,A393,2,Yes
2019,A394,2,Yes
2019,A3983,39,Yes
2019,A3984,39,Yes
2019,A400,2,Yes
2019,A401,2,Yes
2019,A403,2,Yes
2019,A408,2,Yes
2019,A409,2,Yes
2019,A4101,2,Yes
2019,A4102,2,Yes
2019,A411,2,Yes
2019,A412,2,Yes
2019,A413,2,Yes
2019,A414,2,Yes
2019,A4150,2,Yes
2019,A4151,2,Yes
2019,A4152,2,Yes
2019,A4153,2,Yes
2019,A4159,2,Yes
2019,A4181,2,Yes
2019,A4189,2,Yes
2019,A419,2,Yes
2019,A420,115,Yes
2019,A427,2,Yes
2019,A430,115,Yes
2019,A480,106,Yes
2019,A481,114,Yes
2019,A483,2,Yes
2019,A5055,39,Yes
2019,A5204,,No
2019,A5440,39,Yes
2019,A5441,39,Yes
2019,A5442,39,Yes
2019,A5443,39,Yes
2019,A5449,39,Yes
2019,A5484,115,Yes
2019,A5485,33,Yes
2019,A5486,2,Yes
2019,A666,39,Yes
2019,A6923,39,Yes
2019,A8100,,No
2019,A8101,,No
2019,A8109,,No
2019,A811,,No
2019,A812,,No
2019,A8181,,No
2019,A8182,,No
2019,A8183,,No
2019,A8189,,No
2019,A819,,No
2019,A985,,No
2019,B007,2,Yes
2019,B0082,72,Yes
2019,B0112,72,Yes
2019,B0221,,No
2019,B0222,,No
2019,B0223,,No
2019,B0224,72,Yes
2019,B0229,,No
2019,B0682,39,Yes
2019,B180,29,Yes
2019,B181,29,Yes
2019,B182,29,Yes
2019,B188,29,Yes
2019,B189,29,Yes
2019,B20,1,Yes
2019,B250,6,Yes
2019,B251,6,Yes
2019,B252,6,Yes
2019,B258,6,Yes
2019,B259,6,Yes
2019,B2685,39,Yes
2019,B3324,85,Yes
2019,B371,6,Yes
2019,B377,2,Yes
2019,B377,6,Yes
2019,B3781,6,Yes
2019,B380,115,Yes
2019,B381,115,Yes
2019,B382,115,Yes
2019,B390,115,Yes
2019,B391,115,Yes
2019,B392,115,Yes
2019,B400,115,Yes
2019,B401,115,Yes
2019,B402,115,Yes
2019,B410,115,Yes
2019,B4282,39,Yes
2019,B440,6,Yes
2019,B441,6,Yes
2019,B442,6,Yes
2019,B447,6,Yes
2019,B4481,112,Yes
2019,B4489,6,Yes
2019,B449,6,Yes
2019,B450,6,Yes
2019,B451,6,Yes
2019,B452,6,Yes
2019,B453,6,Yes
2019,B457,6,Yes
2019,B458,6,Yes
2019,B459,6,Yes
2019,B460,6,Yes
2019,B461,6,Yes
2019,B462,6,Yes
2019,B463,6,Yes
2019,B464,6,Yes
2019,B465,6,Yes
2019,B468,6,Yes
2019,B469,6,Yes
2019,B484,6,Yes
2019,B488,6,Yes
2019,B520,,No
2019,B582,6,Yes
2019,B583,6,Yes
2019,B59,6,Yes
2019,B664,115,Yes
2019,B671,115,Yes
2019,B9735,1,Yes
2019,C01,11,Yes
2019,C020,11,Yes
2019,C021,11,Yes
2019,C022,11,Yes
2019,C023,11,Yes
2019,C024,11,Yes
2019,C028,11,Yes
2019,C029,11,Yes
2019,C030,11,Yes
2019,C031,11,Yes
2019,C039,11,Yes
2019,C040,11,Yes
2019,C041,11,Yes
2019,C048,11,Yes
2019,C049,11,Yes
2019,C050,11,Yes
2019,C051,11,Yes
2019,C052,11,Yes
2019,C058,11,Yes
2019,C059,11,Yes
2019,C060,11,Yes
