performance_year,service_year,assignment_methodology,expanded_window_start,window_start,window_end
2025,2025,retrospective,1/1/2024,1/1/2025,12/31/2025
2025,2024,retrospective,1/1/2023,1/1/2024,12/31/2024
2025,2023,retrospective,1/1/2022,1/1/2023,12/31/2023
2025,2022,retrospective,1/1/2021,1/1/2022,12/31/2022
2025,2025,prospective,10/1/2022,10/1/2023,9/30/2024
2025,2024,prospective,10/1/2021,10/1/2022,9/30/2023
2025,2023,prospective,10/1/2020,10/1/2021,9/30/2022
2025,2022,prospective,10/1/2019,10/1/2020,9/30/2021
2024,2024,retrospective,1/1/2023,1/1/2024,12/31/2024
2024,2023,retrospective,1/1/2022,1/1/2023,12/31/2023
2024,2022,retrospective,1/1/2021,1/1/2022,12/31/2022
2024,2021,retrospective,1/1/2020,1/1/2021,12/31/2021
2024,2024,prospective,10/1/2021,10/1/2022,9/30/2023
2024,2023,prospective,10/1/2020,10/1/2021,9/30/2022
2024,2022,prospective,10/1/2019,10/1/2020,9/30/2021
2024,2021,prospective,10/1/2018,10/1/2019,9/30/2020
