INPUT_LAYER_TABLE_NAME,CLAIM_TYPE,FIELD_NAME,RED,GREEN,UNIQUE_VALUES_EXPECTED_FLAG
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_START_DATE,90,99,0
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_END_DATE,90,99,0
ELIGIBILITY,ELIGIBILITY,BIRTH_DATE,90,99,0
ELIGIBILITY,ELIGIBILITY,GENDER,90,99,0
ELIGIBILITY,ELIGIBILITY,ZIP_CODE,0,1,0
ELIGIBILITY,ELIGIBILITY,RACE,0,1,0
ELIGIBILITY,ELIGIBILITY,CITY,0,1,0
ELIGIBILITY,ELIGIBILITY,STATE,0,1,0
ELIGIBILITY,ELIGIBILITY,MEMBER_ID,90,99,0
ELIGIBILITY,ELIGIBILITY,DEATH_DATE,0,1,0
ELIGIBILITY,ELIGIBILITY,ADDRESS,0,1,0
ELIGIBILITY,ELIGIBILITY,DEATH_FLAG,0,1,0
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,0,1,0
ELIGIBILITY,ELIGIBILITY,PAYER,90,99,0
ELIGIBILITY,ELIGIBILITY,PAYER_TYPE,90,99,0
ELIGIBILITY,ELIGIBILITY,PLAN,90,99,0
ELIGIBILITY,ELIGIBILITY,ORIGINAL_REASON_ENTITLEMENT_CODE,0,1,0
ELIGIBILITY,ELIGIBILITY,DUAL_STATUS_CODE,0,1,0
ELIGIBILITY,ELIGIBILITY,MEDICARE_STATUS_CODE,0,1,0
ELIGIBILITY,ELIGIBILITY,FIRST_NAME,0,1,0
ELIGIBILITY,ELIGIBILITY,LAST_NAME,0,1,0
ELIGIBILITY,ELIGIBILITY,PHONE,0,1,0
ELIGIBILITY,ELIGIBILITY,DATA_SOURCE,98,99,0
MEDICAL_CLAIM,institutional,ADMISSION_DATE,90,99,0
MEDICAL_CLAIM,professional,ADMISSION_DATE,0,1,0
MEDICAL_CLAIM,institutional,ADMIT_SOURCE_CODE,90,99,0
MEDICAL_CLAIM,professional,ADMIT_SOURCE_CODE,0,1,0
MEDICAL_CLAIM,institutional,ADMIT_TYPE_CODE,90,99,0
MEDICAL_CLAIM,professional,ADMIT_TYPE_CODE,0,1,0
MEDICAL_CLAIM,institutional,ALLOWED_AMOUNT,0,1,0
MEDICAL_CLAIM,professional,ALLOWED_AMOUNT,0,1,0
MEDICAL_CLAIM,institutional,APR_DRG_CODE,0,1,0
MEDICAL_CLAIM,professional,APR_DRG_CODE,0,1,0
MEDICAL_CLAIM,institutional,BILL_TYPE_CODE,90,99,0
MEDICAL_CLAIM,professional,BILL_TYPE_CODE,0,1,0
MEDICAL_CLAIM,institutional,BILLING_NPI,90,99,0
MEDICAL_CLAIM,professional,BILLING_NPI,90,99,0
MEDICAL_CLAIM,institutional,CHARGE_AMOUNT,0,1,0
MEDICAL_CLAIM,professional,CHARGE_AMOUNT,0,1,0
MEDICAL_CLAIM,institutional,CLAIM_END_DATE,90,99,0
MEDICAL_CLAIM,professional,CLAIM_END_DATE,90,99,0
MEDICAL_CLAIM,institutional,CLAIM_ID,98,99,0
MEDICAL_CLAIM,professional,CLAIM_ID,98,99,0
MEDICAL_CLAIM,institutional,CLAIM_LINE_END_DATE,90,99,0
MEDICAL_CLAIM,professional,CLAIM_LINE_END_DATE,90,99,0
MEDICAL_CLAIM,institutional,CLAIM_LINE_NUMBER,98,99,0
MEDICAL_CLAIM,professional,CLAIM_LINE_NUMBER,98,99,0
MEDICAL_CLAIM,institutional,CLAIM_LINE_START_DATE,90,99,0
MEDICAL_CLAIM,professional,CLAIM_LINE_START_DATE,90,99,0
MEDICAL_CLAIM,institutional,CLAIM_START_DATE,90,99,0
MEDICAL_CLAIM,professional,CLAIM_START_DATE,90,99,0
MEDICAL_CLAIM,institutional,CLAIM_TYPE,98,99,0
MEDICAL_CLAIM,professional,CLAIM_TYPE,98,99,0
MEDICAL_CLAIM,institutional,COINSURANCE_AMOUNT,0,1,0
MEDICAL_CLAIM,professional,COINSURANCE_AMOUNT,0,1,0
MEDICAL_CLAIM,institutional,COPAYMENT_AMOUNT,0,1,0
MEDICAL_CLAIM,professional,COPAYMENT_AMOUNT,0,1,0
MEDICAL_CLAIM,institutional,DATA_SOURCE,98,99,0
MEDICAL_CLAIM,professional,DATA_SOURCE,98,99,0
MEDICAL_CLAIM,institutional,DEDUCTIBLE_AMOUNT,0,1,0
MEDICAL_CLAIM,professional,DEDUCTIBLE_AMOUNT,0,1,0
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,90,99,0
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,90,99,0
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_2,0,1,0
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_2,0,1,0
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_3,0,1,0
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_3,0,1,0
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_TYPE,98,99,0
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_TYPE,98,99,0
MEDICAL_CLAIM,institutional,DIAGNOSIS_POA_1,0,1,0
MEDICAL_CLAIM,professional,DIAGNOSIS_POA_1,0,1,0
PHARMACY_CLAIM,PHARMACY,ALLOWED_AMOUNT,0,1,0
PHARMACY_CLAIM,PHARMACY,CLAIM_ID,90,99,0
PHARMACY_CLAIM,PHARMACY,CLAIM_LINE_NUMBER,90,99,0
PHARMACY_CLAIM,PHARMACY,COINSURANCE_AMOUNT,0,0,0
PHARMACY_CLAIM,PHARMACY,COPAYMENT_AMOUNT,0,0,0
PHARMACY_CLAIM,PHARMACY,DATA_SOURCE,98,99,0
PHARMACY_CLAIM,PHARMACY,DAYS_SUPPLY,90,99,0
PHARMACY_CLAIM,PHARMACY,DEDUCTIBLE_AMOUNT,0,0,0
PHARMACY_CLAIM,PHARMACY,DISPENSING_DATE,90,99,0
PHARMACY_CLAIM,PHARMACY,DISPENSING_PROVIDER_NPI,90,99,0
PHARMACY_CLAIM,PHARMACY,MEMBER_ID,90,99,0
PHARMACY_CLAIM,PHARMACY,NDC_CODE,90,99,0
PHARMACY_CLAIM,PHARMACY,PAID_AMOUNT,80,90,0
PHARMACY_CLAIM,PHARMACY,PAID_DATE,90,99,0
PHARMACY_CLAIM,PHARMACY,PATIENT_ID,0,1,0
PHARMACY_CLAIM,PHARMACY,PAYER,90,99,0
PHARMACY_CLAIM,PHARMACY,PLAN,90,99,0
PHARMACY_CLAIM,PHARMACY,PRESCRIBING_PROVIDER_NPI,90,99,0
PHARMACY_CLAIM,PHARMACY,QUANTITY,90,99,0
PHARMACY_CLAIM,PHARMACY,REFILLS,0,1,0
MEDICAL_CLAIM,institutional,DIAGNOSIS_POA_2,0,1,0
MEDICAL_CLAIM,professional,DIAGNOSIS_POA_2,0,1,0
MEDICAL_CLAIM,institutional,DIAGNOSIS_POA_3,0,1,0
MEDICAL_CLAIM,professional,DIAGNOSIS_POA_3,0,1,0
MEDICAL_CLAIM,institutional,DISCHARGE_DATE,90,99,0
MEDICAL_CLAIM,professional,DISCHARGE_DATE,0,1,0
MEDICAL_CLAIM,institutional,DISCHARGE_DISPOSITION_CODE,90,99,0
MEDICAL_CLAIM,professional,DISCHARGE_DISPOSITION_CODE,0,1,0
MEDICAL_CLAIM,institutional,FACILITY_NPI,0,1,0
MEDICAL_CLAIM,professional,FACILITY_NPI,0,1,0
MEDICAL_CLAIM,institutional,HCPCS_CODE,0,1,0
MEDICAL_CLAIM,professional,HCPCS_CODE,90,99,0
MEDICAL_CLAIM,institutional,MEMBER_ID,90,99,0
MEDICAL_CLAIM,professional,MEMBER_ID,90,99,0
MEDICAL_CLAIM,institutional,MS_DRG_CODE,90,99,0
MEDICAL_CLAIM,professional,MS_DRG_CODE,0,0,0
MEDICAL_CLAIM,institutional,PAID_AMOUNT,80,90,0
MEDICAL_CLAIM,professional,PAID_AMOUNT,80,90,0
MEDICAL_CLAIM,institutional,PAID_DATE,0,1,0
MEDICAL_CLAIM,professional,PAID_DATE,0,1,0
MEDICAL_CLAIM,institutional,PATIENT_ID,90,99,0
MEDICAL_CLAIM,professional,PATIENT_ID,0,1,0
MEDICAL_CLAIM,institutional,PAYER,90,99,0
MEDICAL_CLAIM,professional,PAYER,90,99,0
MEDICAL_CLAIM,institutional,PLACE_OF_SERVICE_CODE,0,1,0
MEDICAL_CLAIM,professional,PLACE_OF_SERVICE_CODE,90,99,0
MEDICAL_CLAIM,institutional,PLAN,90,99,0
MEDICAL_CLAIM,professional,PLAN,90,99,0
MEDICAL_CLAIM,institutional,PROCEDURE_CODE_1,0,40,0
MEDICAL_CLAIM,professional,PROCEDURE_CODE_1,30,40,0
MEDICAL_CLAIM,institutional,PROCEDURE_CODE_2,0,1,0
MEDICAL_CLAIM,professional,PROCEDURE_CODE_2,0,30,0
MEDICAL_CLAIM,institutional,PROCEDURE_CODE_3,0,1,0
MEDICAL_CLAIM,professional,PROCEDURE_CODE_3,5,10,0
