﻿INPUT_LAYER_TABLE_NAME,CLAIM_TYPE,FIELD_NAME,MART_NAME
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_START_DATE,Financial PMPM
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_END_DATE,Financial PMPM
ELIGIBILITY,ELIGIBILITY,BIRTH_DATE,CMS-HCC
ELIGIBILITY,ELIGIBILITY,STATE,Geospatial
ELIGIBILITY,ELIGIBILITY,MEMBER_ID,Geospatial
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,Core
ELIGIBILITY,ELIGIBILITY,PAYER,Core
ELIGIBILITY,ELIGIBILITY,PAYER_TYPE,Core
ELIGIBILITY,ELIGIBILITY,PLAN,Core
ELIGIBILITY,ELIGIBILITY,DATA_SOURCE,Core
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_END_DATE,Core
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_START_DATE,Core
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_END_DATE,CMS-HCC
ELIGIBILITY,ELIGIBILITY,ENROLLMENT_START_DATE,CMS-HCC
ELIGIBILITY,ELIGIBILITY,GENDER,CMS-HCC
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,CMS-HCC
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,ED Classification
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,Financial PMPM
ELIGIBILITY,ELIGIBILITY,DATA_SOURCE,Financial PMPM
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,HCC Suspecting
ELIGIBILITY,ELIGIBILITY,GENDER,HCC Suspecting
ELIGIBILITY,ELIGIBILITY,BIRTH_DATE,HCC Suspecting
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,Quality Measures
ELIGIBILITY,ELIGIBILITY,PATIENT_ID,Emergency Department Encounters
MEDICAL_CLAIM,institutional,ADMISSION_DATE,Quality Measures
MEDICAL_CLAIM,institutional,ADMISSION_DATE,Readmissions
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,CMS-HCC
MEDICAL_CLAIM,institutional,CLAIM_START_DATE,Chronic Conditions - Tuva
MEDICAL_CLAIM,institutional,CLAIM_START_DATE,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,CLAIM_ID,Readmissions
MEDICAL_CLAIM,institutional,CLAIM_START_DATE,Financial PMPM
MEDICAL_CLAIM,institutional,CLAIM_END_DATE,Financial PMPM
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,Quality Measures
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,Readmissions
MEDICAL_CLAIM,institutional,DISCHARGE_DATE,Readmissions
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,Chronic Conditions - Tuva
MEDICAL_CLAIM,institutional,DISCHARGE_DISPOSITION_CODE,Readmissions
MEDICAL_CLAIM,institutional,PATIENT_ID,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,PAID_AMOUNT,Financial PMPM
MEDICAL_CLAIM,institutional,CLAIM_ID,Core
MEDICAL_CLAIM,institutional,CLAIM_LINE_NUMBER,Core
MEDICAL_CLAIM,institutional,CLAIM_TYPE,Core
MEDICAL_CLAIM,institutional,DATA_SOURCE,Core
MEDICAL_CLAIM,institutional,BILL_TYPE_CODE,Core
MEDICAL_CLAIM,institutional,CLAIM_END_DATE,Core
MEDICAL_CLAIM,institutional,CLAIM_START_DATE,Core
MEDICAL_CLAIM,institutional,REVENUE_CENTER_CODE,Core
MEDICAL_CLAIM,institutional,PATIENT_ID,Chronic Conditions - Tuva
ENCOUNTER,CLINICAL,MS_DRG_CODE,Readmissions
MEDICAL_CLAIM,institutional,PROCEDURE_CODE_1,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,PATIENT_ID,Readmissions
MEDICAL_CLAIM,institutional,FACILITY_NPI,Readmissions
MEDICAL_CLAIM,institutional,PROCEDURE_CODE_1,Readmissions
MEDICAL_CLAIM,institutional,CLAIM_ID,CMS-HCC
MEDICAL_CLAIM,institutional,PATIENT_ID,CMS-HCC
MEDICAL_CLAIM,institutional,CLAIM_LINE_NUMBER,CMS-HCC
MEDICAL_CLAIM,institutional,CLAIM_TYPE,CMS-HCC
MEDICAL_CLAIM,institutional,CLAIM_START_DATE,CMS-HCC
MEDICAL_CLAIM,institutional,CLAIM_END_DATE,CMS-HCC
MEDICAL_CLAIM,institutional,BILL_TYPE_CODE,CMS-HCC
MEDICAL_CLAIM,institutional,CLAIM_ID,CCSR
MEDICAL_CLAIM,institutional,PATIENT_ID,CCSR
MEDICAL_CLAIM,institutional,PROCEDURE_CODE_1,CCSR
MEDICAL_CLAIM,institutional,PROCEDURE_DATE_1,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,DATA_SOURCE,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,CLAIM_ID,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,PATIENT_ID,ED Classification
MEDICAL_CLAIM,institutional,PATIENT_ID,Financial PMPM
MEDICAL_CLAIM,institutional,CLAIM_ID,Financial PMPM
MEDICAL_CLAIM,institutional,CLAIM_LINE_NUMBER,Financial PMPM
MEDICAL_CLAIM,institutional,DATA_SOURCE,Financial PMPM
MEDICAL_CLAIM,institutional,CLAIM_ID,HCC Suspecting
MEDICAL_CLAIM,institutional,PATIENT_ID,HCC Suspecting
MEDICAL_CLAIM,institutional,DATA_SOURCE,HCC Suspecting
MEDICAL_CLAIM,institutional,PATIENT_ID,Quality Measures
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,CCSR
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,HCC Suspecting
MEDICAL_CLAIM,professional,CLAIM_END_DATE,Quality Measures
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,CMS-HCC
MEDICAL_CLAIM,professional,CLAIM_END_DATE,Readmissions
MEDICAL_CLAIM,professional,CLAIM_START_DATE,Chronic Conditions - Tuva
MEDICAL_CLAIM,professional,CLAIM_START_DATE,Chronic Conditions - CMS
MEDICAL_CLAIM,professional,CLAIM_ID,Readmissions
MEDICAL_CLAIM,professional,CLAIM_START_DATE,Quality Measures
MEDICAL_CLAIM,professional,CLAIM_START_DATE,Financial PMPM
MEDICAL_CLAIM,professional,CLAIM_START_DATE,Readmissions
MEDICAL_CLAIM,professional,CLAIM_END_DATE,Financial PMPM
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,Quality Measures
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,Chronic Conditions - CMS
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,Readmissions
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,Chronic Conditions - Tuva
MEDICAL_CLAIM,professional,MEMBER_ID,CMS-HCC
MEDICAL_CLAIM,professional,MEMBER_ID,Quality Measures
MEDICAL_CLAIM,professional,PATIENT_ID,Chronic Conditions - CMS
MEDICAL_CLAIM,professional,PAID_AMOUNT,Financial PMPM
MEDICAL_CLAIM,professional,CLAIM_ID,Core
MEDICAL_CLAIM,professional,CLAIM_LINE_NUMBER,Core
MEDICAL_CLAIM,professional,CLAIM_TYPE,Core
MEDICAL_CLAIM,professional,PATIENT_ID,Core
MEDICAL_CLAIM,professional,DATA_SOURCE,Core
MEDICAL_CLAIM,professional,CLAIM_END_DATE,Core
MEDICAL_CLAIM,professional,CLAIM_START_DATE,Core
MEDICAL_CLAIM,professional,PLACE_OF_SERVICE_CODE,Core
MEDICAL_CLAIM,professional,PATIENT_ID,Chronic Conditions - Tuva
MEDICAL_CLAIM,institutional,MS_DRG_CODE,Readmissions
MEDICAL_CLAIM,professional,PROCEDURE_CODE_1,Chronic Conditions - CMS
MEDICAL_CLAIM,professional,PATIENT_ID,Readmissions
MEDICAL_CLAIM,professional,FACILITY_NPI,Readmissions
MEDICAL_CLAIM,professional,PROCEDURE_CODE_1,Readmissions
MEDICAL_CLAIM,professional,CLAIM_ID,CMS-HCC
MEDICAL_CLAIM,professional,PATIENT_ID,CMS-HCC
