MEASURE_NAME,PAYER_TYPE,LOWER_BOUND,UPPER_BOUND
Total PMPM,Medicare,800,2000
Total PMPM,Commercial,400,1400
Total PMPM,Medicaid,300,900
Total PMPM,Medicare Advantage,600,1600
Medical PMPM,Medicare,500,1300
Medical PMPM,Commercial,300,900
Medical PMPM,Medicaid,150,450
Medical PMPM,Medicare Advantage,400,1000
Inpatient PMPM,Medicare,100,300
Inpatient PMPM,Commercial,50,200
Inpatient PMPM,Medicaid,30,100
Inpatient PMPM,Medicare Advantage,80,300
Outpatient PMPM,Medicare,200,500
Outpatient PMPM,Commercial,100,350
Outpatient PMPM,Medicaid,50,150
Outpatient PMPM,Medicare Advantage,120,400
Ancillary PMPM,Medicare,60,150
Ancillary PMPM,Commercial,30,100
Ancillary PMPM,Medicaid,20,60
Ancillary PMPM,Medicare Advantage,50,150
Other PMPM,Medicare,60,150
Other PMPM,Commercial,30,100
Other PMPM,Medicaid,20,60
Other PMPM,Medicare Advantage,50,150
Pharmacy PMPM,Medicare,100,300
Pharmacy PMPM,Commercial,60,150
Pharmacy PMPM,Medicaid,30,90
Pharmacy PMPM,Medicare Advantage,80,250
LOS,Medicare,2,6
LOS,Commercial,1,3
LOS,Medicaid,1,2
LOS,Medicare Advantage,1,4
30 Day Readmit Rate,Medicare,0.1,0.18
30 Day Readmit Rate,Commercial,0.08,0.15
30 Day Readmit Rate,Medicaid,0.08,0.19
30 Day Readmit Rate,Medicare Advantage,0.09,0.12
Inpatient PKPY,Medicare,0.6,1.5
Inpatient PKPY,Commercial,0.3,1
Inpatient PKPY,Medicaid,0.2,0.6
Inpatient PKPY,Medicare Advantage,0.5,1.3
ED PKPY,Medicare,0.4,1
ED PKPY,Commercial,0.2,0.7
ED PKPY,Medicaid,0.1,0.4
ED PKPY,Medicare Advantage,0.3,0.8
Office Visit PMPM,Medicare,60,150
Office Visit PMPM,Commercial,30,100
Office Visit PMPM,Medicaid,20,60
Office Visit PMPM,Medicare Advantage,50,150
