HCPCS,HCPCS_DESCRIPTION
A0021,Outside state ambulance serv
A0080,Noninterest escort in non er
A0090,Interest escort in non er
A0100,Nonemergency transport taxi
A0110,Nonemergency transport bus
A0120,Noner transport mini-bus
A0130,Noner transport wheelch van
A0140,Nonemergency transport air
A0160,Noner transport case worker
A0170,Transport parking fees/tolls
A0180,Noner transport lodgng recip
A0190,Noner transport meals recip
A0200,Noner transport lodgng escrt
A0210,Noner transport meals escort
A0225,Neonatal emergency transport
A0380,Basic life support mileage
A0382,Basic support routine suppls
A0384,Bls defibrillation supplies
A0390,Advanced life support mileag
A0392,Als defibrillation supplies
A0394,Als iv drug therapy supplies
A0396,Als esophageal intub suppls
A0398,Als routine disposble suppls
A0420,Ambulance waiting 1/2 hr
A0422,Ambulance 02 life sustaining
A0424,Extra ambulance attendant
A0425,Ground mileage
A0426,Als 1
A0427,Als1-emergency
A0428,Bls
A0429,Bls-emergency
A0430,Fixed wing air transport
A0431,Rotary wing air transport
A0432,Pi volunteer ambulance co
A0433,Als 2
A0434,Specialty care transport
A0435,Fixed wing air mileage
A0436,Rotary wing air mileage
A0888,Noncovered ambulance mileage
A0998,Ambulance response/treatment
A0999,Unlisted ambulance service
A2001,"Innovamatrix ac, per sq cm"
A2002,Mirragen adv wnd mat per sq
A2004,"Xcellistem, 1 mg"
A2005,"Microlyte matrix, per sq cm"
A2006,Novosorb synpath per sq cm
A2007,"Restrata, per sq cm"
A2008,"Theragenesis, per sq cm"
A2009,"Symphony, per sq cm"
A2010,"Apis, per square centimeter"
A2011,"Supra sdrm, per sq cm"
A2012,"Suprathel, per sq cm"
A2013,"Innovamatrix fs, per sq cm"
A2014,Omeza collag per 100 mg
A2015,"Phoenix wnd mtrx, per sq cm"
A2016,"Permeaderm b, per sq cm"
A2017,"Permeaderm glove, each"
A2018,"Permeaderm c, per sq cm"
A2019,Kerecis marigen shld sq cm
A2020,Ac5 wound system
A2021,Neomatrix per sq cm
A2022,Innovabrn/innovamatx xl sqcm
A2023,"Innovamatrix pd, 1 mg"
A2024,Resolve matrix per sq cm
A2025,Miro3d per cubic cm
A4100,Skin sub fda clrd as dev nos
A4206,1 cc sterile syringe&needle
A4207,2 cc sterile syringe&needle
A4208,3 cc sterile syringe&needle
A4209,5+ cc sterile syringe&needle
A4210,Nonneedle injection device
A4211,Supp for self-adm injections
A4212,Non coring needle or stylet
A4213,20+ cc syringe only
A4215,Sterile needle
A4216,"Sterile water/saline, 10 ml"
A4217,"Sterile water/saline, 500 ml"
A4218,Sterile saline or water
A4220,Infusion pump refill kit
A4221,Supp non-insulin inf cath/wk
A4222,Infusion supplies with pump
A4223,Infusion supplies w/o pump
A4224,Supply insulin inf cath/wk
A4225,Sup/ext insulin inf pump syr
A4226,Weekly supply maint cgs pump
A4230,Infus insulin pump non needl
A4231,Infusion insulin pump needle
A4232,Syringe w/needle insulin 3cc
A4233,Alkalin batt for glucose mon
A4234,J-cell batt for glucose mon
A4235,Lithium batt for glucose mon
A4236,Silvr oxide batt glucose mon
A4238,Adju cgm supply allowance
A4239,Non-adju cgm supply allow
A4244,Alcohol or peroxide per pint
A4245,Alcohol wipes per box
A4246,Betadine/phisohex solution
A4247,Betadine/iodine swabs/wipes
A4248,Chlorhexidine antisept
A4250,Urine reagent strips/tablets
A4252,Blood ketone test or strip
A4253,Blood glucose/reagent strips
A4255,Glucose monitor platforms
A4256,Calibrator solution/chips
A4257,Replace lensshield cartridge
A4258,Lancet device each
A4259,Lancets per box
A4261,Cervical cap contraceptive
A4262,Temporary tear duct plug
A4263,Permanent tear duct plug
A4264,Intratubal occlusion device
A4265,Paraffin
A4266,Diaphragm
A4267,Male condom
A4268,Female condom
A4269,Spermicide
A4270,Disposable endoscope sheath
A4280,Brst prsths adhsv attchmnt
A4281,Replacement breastpump tube
A4282,Replacement breastpump adpt
A4283,Replacement breastpump cap
A4284,Replcmnt breast pump shield
A4285,Replcmnt breast pump bottle
A4286,Replcmnt breastpump lok ring
A4287,Disp col sto bag breast milk
A4290,Sacral nerve stim test lead
A4300,Cath impl vasc access portal
A4301,Implantable access syst perc
A4305,Drug delivery system >=50 ml
A4306,Drug delivery system <=50 ml
A4310,Insert tray w/o bag/cath
A4311,Catheter w/o bag 2-way latex
A4312,Cath w/o bag 2-way silicone
A4313,Catheter w/bag 3-way
A4314,Cath w/drainage 2-way latex
A4315,Cath w/drainage 2-way silcne
A4316,Cath w/drainage 3-way
A4320,Irrigation tray
A4321,Cath therapeutic irrig agent
A4322,Irrigation syringe
A4326,Male external catheter
A4327,Fem urinary collect dev cup
A4328,Fem urinary collect pouch
A4330,Stool collection pouch
