icd10,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
A020,0,0,1,0,0,0,0,0
A039,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
A049,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
A059,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
A084,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
A088,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
A09,0,0,0,1,0,0,0,0
A150,0,1,0,0,0,0,0,0
A34,1,0,0,0,0,0,0,0
A380,0,0,0.6666666667,0.3333333333,0,0,0,0
A381,0,0,0.6666666667,0.3333333333,0,0,0,0
A388,0,0,0.6666666667,0.3333333333,0,0,0,0
A389,0,0,0.6666666667,0.3333333333,0,0,0,0
A400,0.7692307692,0,0.2307692308,0,0,0,0,0
A401,0.7692307692,0,0.2307692308,0,0,0,0,0
A403,0.7692307692,0,0.2307692308,0,0,0,0,0
A408,0.7692307692,0,0.2307692308,0,0,0,0,0
A409,0.7692307692,0,0.2307692308,0,0,0,0,0
A4102,1,0,0,0,0,0,0,0
A412,0,0,1,0,0,0,0,0
A419,0.7692307692,0,0.2307692308,0,0,0,0,0
A46,0,0,1,0,0,0,0,0
A483,1,0,0,0,0,0,0,0
A4851,0,0,0,1,0,0,0,0
A4852,0,0,0.6666666667,0.3333333333,0,0,0,0
A4902,0,0,0.6666666667,0.3333333333,0,0,0,0
A530,0,0,0.3333333333,0.6666666667,0,0,0,0
A539,0.25,0,0,0.75,0,0,0,0
A5400,0.1538461538,0,0.1538461538,0.6923076923,0,0,0,0
A5402,0.1538461538,0,0.1538461538,0.6923076923,0,0,0,0
A5409,0.1538461538,0,0.1538461538,0.6923076923,0,0,0,0
A541,0.1538461538,0,0.1538461538,0.6923076923,0,0,0,0
A57,0,0,1,0,0,0,0,0
A5901,0,0,0.75,0.25,0,0,0,0
A599,0,0,0.75,0.25,0,0,0,0
A6000,0.5,0,0.5,0,0,0,0,0
A609,0.5,0,0.5,0,0,0,0,0
A630,0,0,0,1,0,0,0,0
A64,0,0,0.0833333333,0.9166666667,0,0,0,0
A8100,1,0,0,0,0,0,0,0
A8101,1,0,0,0,0,0,0,0
A8109,1,0,0,0,0,0,0,0
A8182,1,0,0,0,0,0,0,0
A8183,1,0,0,0,0,0,0,0
A8189,1,0,0,0,0,0,0,0
A9230,1,0,0,0,0,0,0,0
A9231,1,0,0,0,0,0,0,0
A9232,1,0,0,0,0,0,0,0
A9239,1,0,0,0,0,0,0,0
A962,1,0,0,0,0,0,0,0
A983,1,0,0,0,0,0,0,0
A984,1,0,0,0,0,0,0,0
