icd9,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
0030,0,0,1,0,0,0,0,0
0049,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
0059,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
0085,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
0088,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0
0090,0,0,0,1,0,0,0,0
01190,0,1,0,0,0,0,0,0
0340,0,0.0578947368,0.2842105263,0.6578947368,0,0,0,0
0341,0,0,0.6666666667,0.3333333333,0,0,0,0
035,0,0,1,0,0,0,0,0
0380,0.7692307692,0,0.2307692308,0,0,0,0,0
0381,0.7692307692,0,0.2307692308,0,0,0,0,0
03810,0,0,1,0,0,0,0,0
03812,1,0,0,0,0,0,0,0
0389,0.7692307692,0,0.2307692308,0,0,0,0,0
04041,0,0,0,1,0,0,0,0
04042,0,0,0.6666666667,0.3333333333,0,0,0,0
04082,1,0,0,0,0,0,0,0
04112,0,0,0.6666666667,0.3333333333,0,0,0,0
04141,0,0,0.6666666667,0.3333333333,0,0,0,0
04142,0,0,0.6666666667,0.3333333333,0,0,0,0
04143,0,0,0.6666666667,0.3333333333,0,0,0,0
04149,0,0,0.6666666667,0.3333333333,0,0,0,0
042,0.9333333333,0,0,0.0666666667,0,0,0,0
04611,1,0,0,0,0,0,0,0
04619,1,0,0,0,0,0,0,0
04671,1,0,0,0,0,0,0,0
04672,1,0,0,0,0,0,0,0
04679,1,0,0,0,0,0,0,0
05101,1,0,0,0,0,0,0,0
05102,1,0,0,0,0,0,0,0
0522,1,0,0,0,0,0,0,0
0529,0.0666666667,0,0.4666666667,0.4666666667,0,0,0,0
05314,0,0,0.25,0.75,0,0,0,0
0539,0,0,0.25,0.75,0,0,0,0
05410,0.5,0,0.5,0,0,0,0,0
0542,0,0,0.5384615385,0.4615384615,0,0,0,0
05474,0.5,0,0.5,0,0,0,0,0
0549,0.25,0,0,0.75,0,0,0,0
0569,0,0,0,1,0,0,0,0
0579,0,0,0.7142857143,0.2857142857,0,0,0,0
05810,0.5,0,0.5,0,0,0,0,0
05811,0.5,0,0.5,0,0,0,0,0
05812,0.5,0,0.5,0,0,0,0,0
05821,1,0,0,0,0,0,0,0
05829,1,0,0,0,0,0,0,0
05881,0.5,0,0.5,0,0,0,0,0
05882,0.5,0,0.5,0,0,0,0,0
05889,0.5,0,0.5,0,0,0,0,0
05900,1,0,0,0,0,0,0,0
05901,1,0,0,0,0,0,0,0
05909,1,0,0,0,0,0,0,0
05910,1,0,0,0,0,0,0,0
05911,1,0,0,0,0,0,0,0
05912,1,0,0,0,0,0,0,0
05919,1,0,0,0,0,0,0,0
05920,1,0,0,0,0,0,0,0
05921,1,0,0,0,0,0,0,0
05922,1,0,0,0,0,0,0,0
0598,1,0,0,0,0,0,0,0
0599,1,0,0,0,0,0,0,0
0664,1,0,0,0,0,0,0,0
06640,1,0,0,0,0,0,0,0
06641,1,0,0,0,0,0,0,0
06642,1,0,0,0,0,0,0,0
06649,1,0,0,0,0,0,0,0
07070,0.5,0,0,0.5,0,0,0,0
07071,1,0,0,0,0,0,0,0
0709,0,0,0,1,0,0,0,0
0740,0,0,0.5384615385,0.4615384615,0,0,0,0
0743,0,0,0.5,0.5,0,0,0,0
075,0.1008403361,0,0.4369747899,0.4621848739,0,0,0,0
0779,0.0930232558,0,0.2325581395,0.6744186047,0,0,0,0
07799,0,0,0,1,0,0,0,0
0781,0,0,0,1,0,0,0,0
07810,0,0,0,1,0,0,0,0
07811,0,0,0,1,0,0,0,0
07812,0,0,0,1,0,0,0,0
07819,0,0,0,1,0,0,0,0
