concept_name,concept_oid,code,code_system
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,102781000119107,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,104941000119109,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,104961000119108,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,109171000119104,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,110181000119105,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,138881000119106,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,138891000119109,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,138901000119108,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,138911000119106,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,138921000119104,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,138941000119105,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,1481000119100,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,1501000119109,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,1511000119107,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,1551000119108,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,190330002,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,190331003,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,190368000,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,190372001,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,190389009,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,199229001,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,199230006,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,23045005,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,237599002,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,237604008,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,28032008,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,28331000119107,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,31211000119101,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,31321000119102,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,313435000,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,313436004,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,314893005,snomed-ct
Diabetes,2.16.840.1.113883.3.464.1003.103.12.1001,314902007,snomed-ct
