diagnosis_code,cms_hcc_esrd_v21,cms_hcc_esrd_v24,cms_hcc_v22,cms_hcc_v24,cms_hcc_v28,rx_hcc_v05,rx_hcc_v08
A0103,115,115,115,115,,,
A0104,39,39,39,39,92,,
A0105,39,39,39,39,92,,
A021,2,2,2,2,2,,
A0222,115,115,115,115,,,
A0223,39,39,39,39,92,,
A0224,39,39,39,39,92,,
A065,115,115,115,115,283,,
A072,6,6,6,6,6,5,5
A202,115,115,115,115,,,
A207,2,2,2,2,2,,
A212,115,115,115,115,,,
A221,115,115,115,115,,,
A227,2,2,2,2,2,,
A267,2,2,2,2,2,,
A310,6,6,6,6,6,5,5
A312,6,6,6,6,6,5,5
A327,2,2,2,2,2,,
A3681,85,85,85,85,227,186,186
A3684,141,,,,,,
A391,23,23,23,23,,41,43
A392,2,2,2,2,2,,
A393,2,2,2,2,2,,
A394,2,2,2,2,2,,
A3983,39,39,39,39,92,,
A3984,39,39,39,39,92,,
A400,2,2,2,2,2,,
A401,2,2,2,2,2,,
A403,2,2,2,2,2,,
A408,2,2,2,2,2,,
A409,2,2,2,2,2,,
A4101,2,2,2,2,2,,
A4102,2,2,2,2,2,,
A411,2,2,2,2,2,,
A412,2,2,2,2,2,,
A413,2,2,2,2,2,,
A414,2,2,2,2,2,,
A4150,2,2,2,2,2,,
A4151,2,2,2,2,2,,
A4152,2,2,2,2,2,,
A4153,2,2,2,2,2,,
A4159,2,2,2,2,2,,
A4181,2,2,2,2,2,,
A4189,2,2,2,2,2,,
A419,2,2,2,2,2,,
A420,115,115,115,115,,,
A427,2,2,2,2,2,,
A430,115,115,115,115,,,
A480,106,106,106,106,263,,
A481,114,114,114,114,282,,
A483,2,2,2,2,2,,
A5055,39,39,39,39,92,,
A5204,,,,,,206,
A5440,39,39,39,39,92,,
A5441,39,39,39,39,92,,
A5442,39,39,39,39,92,,
A5443,39,39,39,39,92,,
A5449,39,39,39,39,92,,
A5484,115,115,115,115,,,
A5485,33,33,33,33,78,,
A5486,2,2,2,2,2,,
A666,39,39,39,39,92,,
A6923,39,39,39,39,92,,
A8100,52,52,,52,127,112,112
A8101,52,52,,52,127,112,112
A8109,52,52,,52,127,112,112
A811,52,52,,52,127,112,112
A812,52,52,,52,127,112,112
A8181,52,52,,52,127,112,112
A8182,52,52,,52,127,112,112
A8183,52,52,,52,127,112,112
A8189,52,52,,52,127,112,112
A819,52,52,,52,127,112,112
A985,141,,,,,,
B007,2,2,2,2,2,,
B0082,72,72,72,72,182,157,155
B0112,72,72,72,72,182,157,155
B0221,,,,,,168,168
B0222,,,,,,168,168
B0223,,,,,,168,168
B0224,72,72,72,72,182,157,155
B0229,,,,,,168,168
B0682,39,39,39,39,92,,
B1710,,,,,,,55
B1711,,,,,,,55
B180,29,29,29,29,65,55,56
B181,29,29,29,29,65,55,56
B182,29,29,29,29,65,54,54
B188,29,29,29,29,65,55,56
B189,29,29,29,29,65,55,
B1920,,,,,,,55
B1921,,,,,,,55
B20,1,1,1,1,1,1,1
B250,6,6,6,6,6,5,5
B251,6,6,6,6,6,5,5
B252,6,6,6,6,6,5,5
B258,6,6,6,6,6,5,5
B259,6,6,6,6,6,5,5
B2685,39,39,39,39,92,,
B3324,85,85,85,85,227,186,186
B371,6,6,6,6,6,5,5
B377,2,2,2,2,2,5,5
B377,6,6,6,6,6,,
B3781,6,6,6,6,6,5,5
B380,115,115,115,115,,,
B381,115,115,115,115,,,
B382,115,115,115,115,,,
B390,115,115,115,115,,,
B391,115,115,115,115,,,
B392,115,115,115,115,,,
B400,115,115,115,115,,,
B401,115,115,115,115,,,
B402,115,115,115,115,,,
B410,115,115,115,115,,,
B4282,39,39,39,39,92,,
B440,6,6,6,6,6,5,5
B441,6,6,6,6,6,5,5
B442,6,6,6,6,6,5,5
B447,6,6,6,6,6,5,5
B4481,112,112,112,112,280,227,227
B4489,6,6,6,6,6,5,5
B449,6,6,6,6,6,5,5
B450,6,6,6,6,6,5,5
B451,6,6,6,6,6,5,5
B452,6,6,6,6,6,5,5
B453,6,6,6,6,6,5,5
B457,6,6,6,6,6,5,5
B458,6,6,6,6,6,5,5
B459,6,6,6,6,6,5,5
B460,6,6,6,6,6,5,5
B461,6,6,6,6,6,5,5
B462,6,6,6,6,6,5,5
B463,6,6,6,6,6,5,5
B464,6,6,6,6,6,5,5
B465,6,6,6,6,6,5,5
B468,6,6,6,6,6,5,5
B469,6,6,6,6,6,5,5
B484,6,6,6,6,6,5,5
B488,6,6,6,6,6,5,5
B520,141,,,,,,
B582,6,6,6,6,6,5,5
B583,6,6,6,6,6,5,5
B59,6,6,6,6,6,5,5
B664,115,115,115,115,,,
B671,115,115,115,115,,,
B9735,1,1,1,1,1,1,1
C01,11,11,11,11,21,,22
C020,11,11,11,11,21,,22
C021,11,11,11,11,21,,22
C022,11,11,11,11,21,,22
C023,11,11,11,11,21,,22
C024,11,11,11,11,21,,22
C028,11,11,11,11,21,,22
C029,11,11,11,11,21,,22
C030,11,11,11,11,21,,22
C031,11,11,11,11,21,,22
C039,11,11,11,11,21,,22
C040,11,11,11,11,21,,22
C041,11,11,11,11,21,,22
C048,11,11,11,11,21,,22
C049,11,11,11,11,21,,22
C050,11,11,11,11,21,,22
C051,11,11,11,11,21,,22
C052,11,11,11,11,21,,22
C058,11,11,11,11,21,,22
C059,11,11,11,11,21,,22
C060,11,11,11,11,21,,22
C061,11,11,11,11,21,,22
C062,11,11,11,11,21,,22
C0680,11,11,11,11,21,,22
C0689,11,11,11,11,21,,22
C069,11,11,11,11,21,,22
C07,11,11,11,11,21,,22
C080,11,11,11,11,21,,22
