concept_name,concept_oid,measure_id,measure_name
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,NQF2372,Breast Cancer Screening
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,NQF2372,Breast Cancer Screening
Annual Wellness Visit,2.16.840.1.113883.3.526.3.1240,NQF2372,Breast Cancer Screening
Bilateral Mastectomy,2.16.840.1.113883.3.464.1003.198.12.1005,NQF2372,Breast Cancer Screening
Dementia Medications,2.16.840.1.113883.3.464.1003.196.12.1510,NQF2372,Breast Cancer Screening
Emergency Department Visit,2.16.840.1.113883.3.464.1003.101.12.1010,NQF2372,Breast Cancer Screening
Encounter Inpatient,2.16.840.1.113883.3.666.5.307,NQF2372,Breast Cancer Screening
Ethnicity,2.16.840.1.114222.4.11.837,NQF2372,Breast Cancer Screening
Frailty Device,2.16.840.1.113883.3.464.1003.118.12.1300,NQF2372,Breast Cancer Screening
Frailty Diagnosis,2.16.840.1.113883.3.464.1003.113.12.1074,NQF2372,Breast Cancer Screening
Frailty Encounter,2.16.840.1.113883.3.464.1003.101.12.1088,NQF2372,Breast Cancer Screening
Frailty Symptom,2.16.840.1.113883.3.464.1003.113.12.1075,NQF2372,Breast Cancer Screening
History of bilateral mastectomy,2.16.840.1.113883.3.464.1003.198.12.1068,NQF2372,Breast Cancer Screening
Home Healthcare Services,2.16.840.1.113883.3.464.1003.101.12.1016,NQF2372,Breast Cancer Screening
Hospice Care Ambulatory,2.16.840.1.113883.3.526.3.1584,NQF2372,Breast Cancer Screening
Hospice Encounter,2.16.840.1.113883.3.464.1003.1003,NQF2372,Breast Cancer Screening
Institutional special needs plans (snp) or residing in long-term care,,NQF2372,Breast Cancer Screening
Mammography,2.16.840.1.113762.1.4.1138.730,NQF2372,Breast Cancer Screening
Nonacute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1084,NQF2372,Breast Cancer Screening
Observation,2.16.840.1.113883.3.464.1003.101.12.1086,NQF2372,Breast Cancer Screening
Office Visit,2.16.840.1.113883.3.464.1003.101.12.1001,NQF2372,Breast Cancer Screening
ONC Administrative Sex,2.16.840.1.113762.1.4.1,NQF2372,Breast Cancer Screening
Online Assessments,2.16.840.1.113883.3.464.1003.101.12.1089,NQF2372,Breast Cancer Screening
Outpatient,2.16.840.1.113883.3.464.1003.101.12.1087,NQF2372,Breast Cancer Screening
Palliative Care Encounter,2.16.840.1.113883.3.464.1003.101.12.1090,NQF2372,Breast Cancer Screening
Palliative Care Intervention,2.16.840.1.113883.3.464.1003.198.12.1135,NQF2372,Breast Cancer Screening
Payer,2.16.840.1.114222.4.11.3591,NQF2372,Breast Cancer Screening
"Preventive Care Services Established Office Visit, 18 and Up",2.16.840.1.113883.3.464.1003.101.12.1025,NQF2372,Breast Cancer Screening
"Preventive Care Services Initial Office Visit, 18 and Up",2.16.840.1.113883.3.464.1003.101.12.1023,NQF2372,Breast Cancer Screening
Race,2.16.840.1.114222.4.11.836,NQF2372,Breast Cancer Screening
Status Post Left Mastectomy,2.16.840.1.113883.3.464.1003.198.12.1069,NQF2372,Breast Cancer Screening
Status Post Right Mastectomy,2.16.840.1.113883.3.464.1003.198.12.1070,NQF2372,Breast Cancer Screening
Telephone Visits,2.16.840.1.113883.3.464.1003.101.12.1080,NQF2372,Breast Cancer Screening
Unilateral Mastectomy Left,2.16.840.1.113883.3.464.1003.198.12.1133,NQF2372,Breast Cancer Screening
Unilateral Mastectomy Right,2.16.840.1.113883.3.464.1003.198.12.1134,NQF2372,Breast Cancer Screening
"Unilateral Mastectomy, Unspecified Laterality",2.16.840.1.113883.3.464.1003.198.12.1071,NQF2372,Breast Cancer Screening
VALUESETNAME,OID,'NQF0034','COLORECTAL CANCER SCREENING'
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,NQF0034,Colorectal Cancer Screening
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,NQF0034,Colorectal Cancer Screening
Annual Wellness Visit,2.16.840.1.113883.3.526.3.1240,NQF0034,Colorectal Cancer Screening
Colonoscopy,2.16.840.1.113883.3.464.1003.108.12.1020,NQF0034,Colorectal Cancer Screening
CT Colonography,2.16.840.1.113883.3.464.1003.108.12.1038,NQF0034,Colorectal Cancer Screening
Dementia Medications,2.16.840.1.113883.3.464.1003.196.12.1510,NQF0034,Colorectal Cancer Screening
