oid,valuesetname,expansionversion,code,descriptor,codesystemname,codesystemversion,codesystemoid,purpose
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,10378005,"Hospital admission, emergency, from emergency room, accidental injury (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,112689000,"Hospital admission, elective, with complete pre-admission work-up (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,1505002,Hospital admission for isolation (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,15584006,"Hospital admission, elective, with partial pre-admission work-up (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,18083007,"Hospital admission, emergency, indirect (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183450002,Admission to burn unit (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183452005,Emergency hospital admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183481006,Non-urgent hospital admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183487005,Non-urgent medical admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183488000,Non-urgent surgical admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
