concept_name,concept_oid,code,code_system
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,10378005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,112689000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,1505002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,15584006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,18083007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183450002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183452005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183481006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183487005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183488000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183489008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183491000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183492007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183493002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183494008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183495009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183496005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183497001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183498006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183499003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183500007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183501006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183502004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183503009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183504003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183505002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183506001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183507005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183508000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183509008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183510003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183511004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,183512006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,19951005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,2252009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,235313004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,25986004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,287927002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,304566005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305337004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305338009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305339001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305341000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305342007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305350003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305354007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305355008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305356009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305357000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305360007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305361006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305362004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305363009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305364003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305365002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305366001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305367005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305368000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305369008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305370009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305371008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305372001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305374000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305375004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305376003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305377007,snomed-ct
