"ccs_diagnosis_category","description"
"2","Septicemia (except in labor)"
"3","Bacterial infection; unspecified site"
"4","Mycoses"
"5","HIV infection"
"7","Viral infection"
"8","Other infections; including parasitic"
"9","Sexually transmitted infections (not HIV or hepatitis)"
"54","Gout and other crystal arthropathies"
"55","Fluid and electrolyte disorders"
"60","Acute posthemorrhagic anemia"
"61","Sickle cell anemia"
"63","Diseases of white blood cells"
"76","Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"77","Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"78","Other CNS infection and poliomyelitis"
"82","Paralysis"
"83","Epilepsy; convulsions"
"84","Headache; including migraine"
"85","Coma; stupor; and brain damage"
"87","Retinal detachments; defects; vascular occlusion; and retinopathy"
"89","Blindness and vision defects"
"90","Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease)"
"91","Other eye disorders"
"92","Otitis media and related conditions"
"93","Conditions associated with dizziness or vertigo"
"99","Hypertension with complications and secondary hypertension"
"100","Acute myocardial infarction"
"102","Nonspecific chest pain"
"104","Other and ill-defined heart disease"
"107","Cardiac arrest and ventricular fibrillation"
"109","Acute cerebrovascular disease"
"112","Transient cerebral ischemia"
"116","Aortic and peripheral arterial embolism or thrombosis"
"118","Phlebitis; thrombophlebitis and thromboembolism"
"120","Hemorrhoids"
"122","Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"123","Influenza"
"124","Acute and chronic tonsillitis"
"125","Acute bronchitis"
"126","Other upper respiratory infections"
"127","Chronic obstructive pulmonary disease and bronchiectasis"
"128","Asthma"
"129","Aspiration pneumonitis; food/vomitus"
"130","Pleurisy; pneumothorax; pulmonary collapse"
"131","Respiratory failure; insufficiency; arrest (adult)"
"135","Intestinal infection"
"137","Diseases of mouth; excluding dental"
"139","Gastroduodenal ulcer (except hemorrhage)"
"140","Gastritis and duodenitis"
"142","Appendicitis and other appendiceal conditions"
"145","Intestinal obstruction without hernia"
"146","Diverticulosis and diverticulitis"
"148","Peritonitis and intestinal abscess"
"153","Gastrointestinal hemorrhage"
"154","Noninfectious gastroenteritis"
"157","Acute and unspecified renal failure"
"159","Urinary tract infections"
"165","Inflammatory conditions of male genital organs"
"168","Inflammatory diseases of female pelvic organs"
"172","Ovarian cyst"
"197","Skin and subcutaneous tissue infections"
"198","Other inflammatory condition of skin"
"210","Systemic lupus erythematosus and connective tissue disorders"
"245","Syncope"
"246","Fever of unknown origin"
"247","Lymphadenitis"
"249","Shock"
"250","Nausea and vomiting"
"251","Abdominal pain"
"252","Malaise and fatigue"
"259","Residual codes; unclassified"
"650","Adjustment disorders"
"651","Anxiety disorders"
"652","Attention-deficit conduct and disruptive behavior disorders"
"653","Delirium dementia and amnestic and other cognitive disorders"
"656","Impulse control disorders NEC"
"658","Personality disorders"
"660","Alcohol-related disorders"
"663","Screening and history of mental health and substance abuse codes"
"670","Miscellaneous mental health disorders"
