"icd_10_cm","description"
"A150","Tuberculosis of lung"
"A154","Tuberculosis of intrathoracic lymph nodes"
"A155","Tuberculosis of larynx, trachea and bronchus"
"A156","Tuberculous pleurisy"
"A157","Primary respiratory tuberculosis"
"A158","Other respiratory tuberculosis"
"A159","Respiratory tuberculosis unspecified"
"A170","Tuberculous meningitis"
"A171","Meningeal tuberculoma"
"A1781","Tuberculoma of brain and spinal cord"
"A1782","Tuberculous meningoencephalitis"
"A1783","Tuberculous neuritis"
"A1789","Other tuberculosis of nervous system"
"A179","Tuberculosis of nervous system, unspecified"
"A1801","Tuberculosis of spine"
"A1802","Tuberculous arthritis of other joints"
"A1803","Tuberculosis of other bones"
"A1809","Other musculoskeletal tuberculosis"
"A1810","Tuberculosis of genitourinary system, unspecified"
"A1811","Tuberculosis of kidney and ureter"
"A1812","Tuberculosis of bladder"
"A1813","Tuberculosis of other urinary organs"
"A1814","Tuberculosis of prostate"
"A1815","Tuberculosis of other male genital organs"
"A1816","Tuberculosis of cervix"
"A1817","Tuberculous female pelvic inflammatory disease"
"A1818","Tuberculosis of other female genital organs"
"A182","Tuberculous peripheral lymphadenopathy"
"A1831","Tuberculous peritonitis"
"A1832","Tuberculous enteritis"
"A1839","Retroperitoneal tuberculosis"
"A184","Tuberculosis of skin and subcutaneous tissue"
"A1850","Tuberculosis of eye, unspecified"
"A1851","Tuberculous episcleritis"
"A1852","Tuberculous keratitis"
"A1853","Tuberculous chorioretinitis"
"A1854","Tuberculous iridocyclitis"
"A1859","Other tuberculosis of eye"
"A186","Tuberculosis of (inner) (middle) ear"
"A187","Tuberculosis of adrenal glands"
"A1881","Tuberculosis of thyroid gland"
"A1882","Tuberculosis of other endocrine glands"
"A1883","Tuberculosis of digestive tract organs, not elsewhere classified"
"A1884","Tuberculosis of heart"
"A1885","Tuberculosis of spleen"
"A1889","Tuberculosis of other sites"
"A190","Acute miliary tuberculosis of a single specified site"
"A191","Acute miliary tuberculosis of multiple sites"
"A192","Acute miliary tuberculosis, unspecified"
"A198","Other miliary tuberculosis"
"A199","Miliary tuberculosis, unspecified"
"B900","Sequelae of central nervous system tuberculosis"
"B901","Sequelae of genitourinary tuberculosis"
"B902","Sequelae of tuberculosis of bones and joints"
"B908","Sequelae of tuberculosis of other organs"
"B909","Sequelae of respiratory and unspecified tuberculosis"
"J65","Pneumoconiosis associated with tuberculosis"
"I200","Unstable angina"
"I201","Angina pectoris with documented spasm"
"I208","Other forms of angina pectoris"
"I209","Angina pectoris, unspecified"
"I237","Postinfarction angina"
"I240","Acute coronary thrombosis not resulting in myocardial infarction"
"I241","Dressler's syndrome"
"I248","Other forms of acute ischemic heart disease"
"I249","Acute ischemic heart disease, unspecified"
"I25110","Atherosclerotic heart disease of native coronary artery with unstable angina pectoris"
"I25111","Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm"
"I25118","Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris"
"I25119","Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris"
"I256","Silent myocardial ischemia"
"I25750","Atherosclerosis of native coronary artery of transplanted heart with unstable angina"
"I25751","Atherosclerosis of native coronary artery of transplanted heart with angina pectoris with documented spasm"
"I25758","Atherosclerosis of native coronary artery of transplanted heart with other forms of angina pectoris"
"I25759","Atherosclerosis of native coronary artery of transplanted heart with unspecified angina pectoris"
"I440","Atrioventricular block, first degree"
"I441","Atrioventricular block, second degree"
"I442","Atrioventricular block, complete"
"I4430","Unspecified atrioventricular block"
"I4439","Other atrioventricular block"
"I444","Left anterior fascicular block"
"I445","Left posterior fascicular block"
"I4460","Unspecified fascicular block"
"I4469","Other fascicular block"
"I447","Left bundle-branch block, unspecified"
"I450","Right fascicular block"
"I4510","Unspecified right bundle-branch block"
"I4519","Other right bundle-branch block"
"I452","Bifascicular block"
"I453","Trifascicular block"
"I454","Nonspecific intraventricular block"
"I455","Other specified heart block"
"I456","Pre-excitation syndrome"
"I4581","Long QT syndrome"
"I4589","Other specified conduction disorders"
"I459","Conduction disorder, unspecified"
"I470","Re-entry ventricular arrhythmia"
"I471","Supraventricular tachycardia"
"I472","Ventricular tachycardia"
"I479","Paroxysmal tachycardia, unspecified"
"I495","Sick sinus syndrome"
"I498","Other specified cardiac arrhythmias"
"I499","Cardiac arrhythmia, unspecified"
"R000","Tachycardia, unspecified"
"R001","Bradycardia, unspecified"
"R002","Palpitations"
"I5023","Acute on chronic systolic (congestive) heart failure"
"I5033","Acute on chronic diastolic (congestive) heart failure"
"I5043","Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure"
"I50813","Acute on chronic right heart failure"
"I0981","Rheumatic heart failure"
"I501","Left ventricular failure, unspecified"
"I5020","Unspecified systolic (congestive) heart failure"
"I5021","Acute systolic (congestive) heart failure"
"I5030","Unspecified diastolic (congestive) heart failure"
"I5031","Acute diastolic (congestive) heart failure"
"I5040","Unspecified combined systolic (congestive) and diastolic (congestive) heart failure"
"I5041","Acute combined systolic (congestive) and diastolic (congestive) heart failure"
"I50810","Right heart failure, unspecified"
"I50811","Acute right heart failure"
"I50814","Right heart failure due to left heart failure"
"I5082","Biventricular heart failure"
"I5083","High output heart failure"
"I5084","End stage heart failure"
"I5089","Other heart failure"
"I509","Heart failure, unspecified"
"K55011","Focal (segmental) acute (reversible) ischemia of small intestine"
"K55012","Diffuse acute (reversible) ischemia of small intestine"
"K55019","Acute (reversible) ischemia of small intestine, extent unspecified"
"K55021","Focal (segmental) acute infarction of small intestine"
"K55022","Diffuse acute infarction of small intestine"
"K55029","Acute infarction of small intestine, extent unspecified"
"K55031","Focal (segmental) acute (reversible) ischemia of large intestine"
"K55032","Diffuse acute (reversible) ischemia of large intestine"
"K55039","Acute (reversible) ischemia of large intestine, extent unspecified"
"K55041","Focal (segmental) acute infarction of large intestine"
"K55042","Diffuse acute infarction of large intestine"
"K55049","Acute infarction of large intestine, extent unspecified"
"K55051","Focal (segmental) acute (reversible) ischemia of intestine, part unspecified"
"K55052","Diffuse acute (reversible) ischemia of intestine, part unspecified"
"K55059","Acute (reversible) ischemia of intestine, part and extent unspecified"
"K55061","Focal (segmental) acute infarction of intestine, part unspecified"
"K55062","Diffuse acute infarction of intestine, part unspecified"
"K55069","Acute infarction of intestine, part and extent unspecified"
"I670","Dissection of cerebral arteries, nonruptured"
"I7100","Dissection of unspecified site of aorta"
"I7101","Dissection of thoracic aorta"
"I7102","Dissection of abdominal aorta"
"I7103","Dissection of thoracoabdominal aorta"
"I711","Thoracic aortic aneurysm, ruptured"
"I713","Abdominal aortic aneurysm, ruptured"
"I715","Thoracoabdominal aortic aneurysm, ruptured"
"I720","Aneurysm of carotid artery"
"I721","Aneurysm of artery of upper extremity"
"I722","Aneurysm of renal artery"
"I723","Aneurysm of iliac artery"
"I724","Aneurysm of artery of lower extremity"
"I725","Aneurysm of other precerebral arteries"
"I726","Aneurysm of vertebral artery"
"I728","Aneurysm of other specified arteries"
"I729","Aneurysm of unspecified site"
"I7770","Dissection of unspecified artery"
"I7771","Dissection of carotid artery"
"I7772","Dissection of iliac artery"
"I7773","Dissection of renal artery"
"I7774","Dissection of vertebral artery"
"I7775","Dissection of other precerebral arteries"
"I7776","Dissection of artery of upper extremity"
"I7777","Dissection of artery of lower extremity"
"I7779","Dissection of other specified artery"
"I790","Aneurysm of aorta in diseases classified elsewhere"
"J810","Acute pulmonary edema"
"J84114","Acute interstitial pneumonitis"
"J852","Abscess of lung without pneumonia"
"J853","Abscess of mediastinum"
"R042","Hemoptysis"
"R0481","Acute idiopathic pulmonary hemorrhage in infants"
"R0489","Hemorrhage from other sites in respiratory passages"
"R049","Hemorrhage from respiratory passages, unspecified"
"R0600","Dyspnea, unspecified"
"R0602","Shortness of breath"
"R0603","Acute respiratory distress"
"K8000","Calculus of gallbladder with acute cholecystitis without obstruction"
"K8001","Calculus of gallbladder with acute cholecystitis with obstruction"
"K8012","Calculus of gallbladder with acute and chronic cholecystitis without obstruction"
"K8013","Calculus of gallbladder with acute and chronic cholecystitis with obstruction"
"K8018","Calculus of gallbladder with other cholecystitis without obstruction"
"K8019","Calculus of gallbladder with other cholecystitis with obstruction"
"K8020","Calculus of gallbladder without cholecystitis without obstruction"
"K8021","Calculus of gallbladder without cholecystitis with obstruction"
"K8030","Calculus of bile duct with cholangitis, unspecified, without obstruction"
"K8031","Calculus of bile duct with cholangitis, unspecified, with obstruction"
"K8032","Calculus of bile duct with acute cholangitis without obstruction"
"K8033","Calculus of bile duct with acute cholangitis with obstruction"
"K8036","Calculus of bile duct with acute and chronic cholangitis without obstruction"
"K8037","Calculus of bile duct with acute and chronic cholangitis with obstruction"
"K8040","Calculus of bile duct with cholecystitis, unspecified, without obstruction"
"K8041","Calculus of bile duct with cholecystitis, unspecified, with obstruction"
"K8042","Calculus of bile duct with acute cholecystitis without obstruction"
"K8043","Calculus of bile duct with acute cholecystitis with obstruction"
"K8046","Calculus of bile duct with acute and chronic cholecystitis without obstruction"
"K8047","Calculus of bile duct with acute and chronic cholecystitis with obstruction"
"K8050","Calculus of bile duct without cholangitis or cholecystitis without obstruction"
"K8051","Calculus of bile duct without cholangitis or cholecystitis with obstruction"
"K8060","Calculus of gallbladder and bile duct with cholecystitis, unspecified, without obstruction"
"K8061","Calculus of gallbladder and bile duct with cholecystitis, unspecified, with obstruction"
"K8062","Calculus of gallbladder and bile duct with acute cholecystitis without obstruction"
"K8063","Calculus of gallbladder and bile duct with acute cholecystitis with obstruction"
"K8066","Calculus of gallbladder and bile duct with acute and chronic cholecystitis without obstruction"
"K8067","Calculus of gallbladder and bile duct with acute and chronic cholecystitis with obstruction"
"K8070","Calculus of gallbladder and bile duct without cholecystitis without obstruction"
"K8071","Calculus of gallbladder and bile duct without cholecystitis with obstruction"
"K8081","Other cholelithiasis with obstruction"
"K810","Acute cholecystitis"
"K812","Acute cholecystitis with chronic cholecystitis"
"K819","Cholecystitis, unspecified"
"K820","Obstruction of gallbladder"
"K821","Hydrops of gallbladder"
"K822","Perforation of gallbladder"
"K82A1","Gangrene of gallbladder in cholecystitis"
"K82A2","Perforation of gallbladder in cholecystitis"
"K830","Cholangitis"
"K8309","Other cholangitis"
"K831","Obstruction of bile duct"
"K832","Perforation of bile duct"
"K850","Idiopathic acute pancreatitis"
"K8500","Idiopathic acute pancreatitis without necrosis or infection"
"K8501","Idiopathic acute pancreatitis with uninfected necrosis"
"K8502","Idiopathic acute pancreatitis with infected necrosis"
"K851","Biliary acute pancreatitis"
"K8510","Biliary acute pancreatitis without necrosis or infection"
"K8511","Biliary acute pancreatitis with uninfected necrosis"
"K8512","Biliary acute pancreatitis with infected necrosis"
"K852","Alcohol induced acute pancreatitis"
"K8520","Alcohol induced acute pancreatitis without necrosis or infection"
"K8521","Alcohol induced acute pancreatitis with uninfected necrosis"
"K8522","Alcohol induced acute pancreatitis with infected necrosis"
"K853","Drug induced acute pancreatitis"
"K8530","Drug induced acute pancreatitis without necrosis or infection"
"K8531","Drug induced acute pancreatitis with uninfected necrosis"
"K8532","Drug induced acute pancreatitis with infected necrosis"
"K858","Other acute pancreatitis"
"K8580","Other acute pancreatitis without necrosis or infection"
"K8581","Other acute pancreatitis with uninfected necrosis"
"K8582","Other acute pancreatitis with infected necrosis"
"K859","Acute pancreatitis, unspecified"
"K8590","Acute pancreatitis without necrosis or infection, unspecified"
"K8591","Acute pancreatitis with uninfected necrosis, unspecified"
"K8592","Acute pancreatitis with infected necrosis, unspecified"
"K8681","Exocrine pancreatic insufficiency"
"K8689","Other specified diseases of pancreas"
"K5530","Necrotizing enterocolitis, unspecified"
"K5531","Stage 1 necrotizing enterocolitis"
"K5532","Stage 2 necrotizing enterocolitis"
"K5533","Stage 3 necrotizing enterocolitis"
"K5931","Toxic megacolon"
"N50811","Right testicular pain"
"N50812","Left testicular pain"
"N50819","Testicular pain, unspecified"
"N5082","Scrotal pain"
"N610","Mastitis without abscess"
"N611","Abscess of the breast and nipple"
"N83511","Torsion of right ovary and ovarian pedicle"
"N83512","Torsion of left ovary and ovarian pedicle"
"N83519","Torsion of ovary and ovarian pedicle, unspecified side"
"N83521","Torsion of right fallopian tube"
"N83522","Torsion of left fallopian tube"
"N83529","Torsion of fallopian tube, unspecified side"
"M1250","Traumatic arthropathy, unspecified site"
"M12511","Traumatic arthropathy, right shoulder"
"M12512","Traumatic arthropathy, left shoulder"
"M12519","Traumatic arthropathy, unspecified shoulder"
"M12521","Traumatic arthropathy, right elbow"
"M12522","Traumatic arthropathy, left elbow"
"M12529","Traumatic arthropathy, unspecified elbow"
"M12531","Traumatic arthropathy, right wrist"
"M12532","Traumatic arthropathy, left wrist"
"M12539","Traumatic arthropathy, unspecified wrist"
"M12541","Traumatic arthropathy, right hand"
"M12542","Traumatic arthropathy, left hand"
"M12549","Traumatic arthropathy, unspecified hand"
"M12551","Traumatic arthropathy, right hip"
"M12552","Traumatic arthropathy, left hip"
"M12559","Traumatic arthropathy, unspecified hip"
"M12561","Traumatic arthropathy, right knee"
"M12562","Traumatic arthropathy, left knee"
"M12569","Traumatic arthropathy, unspecified knee"
"M12571","Traumatic arthropathy, right ankle and foot"
"M12572","Traumatic arthropathy, left ankle and foot"
"M12579","Traumatic arthropathy, unspecified ankle and foot"
"M1258","Traumatic arthropathy, other specified site"
"M1259","Traumatic arthropathy, multiple sites"
"M2200","Recurrent dislocation of patella, unspecified knee"
"M2201","Recurrent dislocation of patella, right knee"
"M2202","Recurrent dislocation of patella, left knee"
"M2210","Recurrent subluxation of patella, unspecified knee"
"M2211","Recurrent subluxation of patella, right knee"
"M2212","Recurrent subluxation of patella, left knee"
"M222X1","Patellofemoral disorders, right knee"
"M222X2","Patellofemoral disorders, left knee"
"M222X9","Patellofemoral disorders, unspecified knee"
"M223X1","Other derangements of patella, right knee"
"M223X2","Other derangements of patella, left knee"
"M223X9","Other derangements of patella, unspecified knee"
"M2240","Chondromalacia patellae, unspecified knee"
"M2241","Chondromalacia patellae, right knee"
"M2242","Chondromalacia patellae, left knee"
"M228X1","Other disorders of patella, right knee"
"M228X2","Other disorders of patella, left knee"
"M228X9","Other disorders of patella, unspecified knee"
"M2290","Unspecified disorder of patella, unspecified knee"
"M2291","Unspecified disorder of patella, right knee"
"M2292","Unspecified disorder of patella, left knee"
"M23000","Cystic meniscus, unspecified lateral meniscus, right knee"
"M23001","Cystic meniscus, unspecified lateral meniscus, left knee"
"M23002","Cystic meniscus, unspecified lateral meniscus, unspecified knee"
"M23003","Cystic meniscus, unspecified medial meniscus, right knee"
"M23004","Cystic meniscus, unspecified medial meniscus, left knee"
"M23005","Cystic meniscus, unspecified medial meniscus, unspecified knee"
"M23006","Cystic meniscus, unspecified meniscus, right knee"
"M23007","Cystic meniscus, unspecified meniscus, left knee"
"M23009","Cystic meniscus, unspecified meniscus, unspecified knee"
"M23011","Cystic meniscus, anterior horn of medial meniscus, right knee"
"M23012","Cystic meniscus, anterior horn of medial meniscus, left knee"
"M23019","Cystic meniscus, anterior horn of medial meniscus, unspecified knee"
"M23021","Cystic meniscus, posterior horn of medial meniscus, right knee"
"M23022","Cystic meniscus, posterior horn of medial meniscus, left knee"
"M23029","Cystic meniscus, posterior horn of medial meniscus, unspecified knee"
"M23031","Cystic meniscus, other medial meniscus, right knee"
"M23032","Cystic meniscus, other medial meniscus, left knee"
"M23039","Cystic meniscus, other medial meniscus, unspecified knee"
"M23041","Cystic meniscus, anterior horn of lateral meniscus, right knee"
"M23042","Cystic meniscus, anterior horn of lateral meniscus, left knee"
"M23049","Cystic meniscus, anterior horn of lateral meniscus, unspecified knee"
"M23051","Cystic meniscus, posterior horn of lateral meniscus, right knee"
"M23052","Cystic meniscus, posterior horn of lateral meniscus, left knee"
"M23059","Cystic meniscus, posterior horn of lateral meniscus, unspecified knee"
"M23061","Cystic meniscus, other lateral meniscus, right knee"
"M23062","Cystic meniscus, other lateral meniscus, left knee"
"M23069","Cystic meniscus, other lateral meniscus, unspecified knee"
"M23200","Derangement of unspecified lateral meniscus due to old tear or injury, right knee"
"M23201","Derangement of unspecified lateral meniscus due to old tear or injury, left knee"
"M23202","Derangement of unspecified lateral meniscus due to old tear or injury, unspecified knee"
"M23203","Derangement of unspecified medial meniscus due to old tear or injury, right knee"
"M23204","Derangement of unspecified medial meniscus due to old tear or injury, left knee"
"M23205","Derangement of unspecified medial meniscus due to old tear or injury, unspecified knee"
"M23206","Derangement of unspecified meniscus due to old tear or injury, right knee"
"M23207","Derangement of unspecified meniscus due to old tear or injury, left knee"
"M23209","Derangement of unspecified meniscus due to old tear or injury, unspecified knee"
"M23211","Derangement of anterior horn of medial meniscus due to old tear or injury, right knee"
"M23212","Derangement of anterior horn of medial meniscus due to old tear or injury, left knee"
"M23219","Derangement of anterior horn of medial meniscus due to old tear or injury, unspecified knee"
"M23221","Derangement of posterior horn of medial meniscus due to old tear or injury, right knee"
"M23222","Derangement of posterior horn of medial meniscus due to old tear or injury, left knee"
"M23229","Derangement of posterior horn of medial meniscus due to old tear or injury, unspecified knee"
"M23231","Derangement of other medial meniscus due to old tear or injury, right knee"
"M23232","Derangement of other medial meniscus due to old tear or injury, left knee"
"M23239","Derangement of other medial meniscus due to old tear or injury, unspecified knee"
"M23241","Derangement of anterior horn of lateral meniscus due to old tear or injury, right knee"
"M23242","Derangement of anterior horn of lateral meniscus due to old tear or injury, left knee"
"M23249","Derangement of anterior horn of lateral meniscus due to old tear or injury, unspecified knee"
"M23251","Derangement of posterior horn of lateral meniscus due to old tear or injury, right knee"
"M23252","Derangement of posterior horn of lateral meniscus due to old tear or injury, left knee"
"M23259","Derangement of posterior horn of lateral meniscus due to old tear or injury, unspecified knee"
"M23261","Derangement of other lateral meniscus due to old tear or injury, right knee"
"M23262","Derangement of other lateral meniscus due to old tear or injury, left knee"
"M23269","Derangement of other lateral meniscus due to old tear or injury, unspecified knee"
"M23300","Other meniscus derangements, unspecified lateral meniscus, right knee"
"M23301","Other meniscus derangements, unspecified lateral meniscus, left knee"
"M23302","Other meniscus derangements, unspecified lateral meniscus, unspecified knee"
"M23303","Other meniscus derangements, unspecified medial meniscus, right knee"
"M23304","Other meniscus derangements, unspecified medial meniscus, left knee"
"M23305","Other meniscus derangements, unspecified medial meniscus, unspecified knee"
"M23306","Other meniscus derangements, unspecified meniscus, right knee"
"M23307","Other meniscus derangements, unspecified meniscus, left knee"
"M23309","Other meniscus derangements, unspecified meniscus, unspecified knee"
"M23311","Other meniscus derangements, anterior horn of medial meniscus, right knee"
"M23312","Other meniscus derangements, anterior horn of medial meniscus, left knee"
"M23319","Other meniscus derangements, anterior horn of medial meniscus, unspecified knee"
"M23321","Other meniscus derangements, posterior horn of medial meniscus, right knee"
"M23322","Other meniscus derangements, posterior horn of medial meniscus, left knee"
"M23329","Other meniscus derangements, posterior horn of medial meniscus, unspecified knee"
"M23331","Other meniscus derangements, other medial meniscus, right knee"
"M23332","Other meniscus derangements, other medial meniscus, left knee"
"M23339","Other meniscus derangements, other medial meniscus, unspecified knee"
"M23341","Other meniscus derangements, anterior horn of lateral meniscus, right knee"
"M23342","Other meniscus derangements, anterior horn of lateral meniscus, left knee"
"M23349","Other meniscus derangements, anterior horn of lateral meniscus, unspecified knee"
"M23351","Other meniscus derangements, posterior horn of lateral meniscus, right knee"
"M23352","Other meniscus derangements, posterior horn of lateral meniscus, left knee"
"M23359","Other meniscus derangements, posterior horn of lateral meniscus, unspecified knee"
"M23361","Other meniscus derangements, other lateral meniscus, right knee"
"M23362","Other meniscus derangements, other lateral meniscus, left knee"
"M23369","Other meniscus derangements, other lateral meniscus, unspecified knee"
"M2340","Loose body in knee, unspecified knee"
"M2341","Loose body in knee, right knee"
"M2342","Loose body in knee, left knee"
"M2350","Chronic instability of knee, unspecified knee"
"M2351","Chronic instability of knee, right knee"
"M2352","Chronic instability of knee, left knee"
"M23601","Other spontaneous disruption of unspecified ligament of right knee"
"M23602","Other spontaneous disruption of unspecified ligament of left knee"
"M23609","Other spontaneous disruption of unspecified ligament of unspecified knee"
"M23611","Other spontaneous disruption of anterior cruciate ligament of right knee"
"M23612","Other spontaneous disruption of anterior cruciate ligament of left knee"
"M23619","Other spontaneous disruption of anterior cruciate ligament of unspecified knee"
"M23621","Other spontaneous disruption of posterior cruciate ligament of right knee"
"M23622","Other spontaneous disruption of posterior cruciate ligament of left knee"
"M23629","Other spontaneous disruption of posterior cruciate ligament of unspecified knee"
"M23631","Other spontaneous disruption of medial collateral ligament of right knee"
"M23632","Other spontaneous disruption of medial collateral ligament of left knee"
"M23639","Other spontaneous disruption of medial collateral ligament of unspecified knee"
"M23641","Other spontaneous disruption of lateral collateral ligament of right knee"
"M23642","Other spontaneous disruption of lateral collateral ligament of left knee"
"M23649","Other spontaneous disruption of lateral collateral ligament of unspecified knee"
"M23671","Other spontaneous disruption of capsular ligament of right knee"
"M23672","Other spontaneous disruption of capsular ligament of left knee"
"M23679","Other spontaneous disruption of capsular ligament of unspecified knee"
"M238X1","Other internal derangements of right knee"
"M238X2","Other internal derangements of left knee"
"M238X9","Other internal derangements of unspecified knee"
"M2390","Unspecified internal derangement of unspecified knee"
"M2391","Unspecified internal derangement of right knee"
"M2392","Unspecified internal derangement of left knee"
"M2410","Other articular cartilage disorders, unspecified site"
"M24111","Other articular cartilage disorders, right shoulder"
"M24112","Other articular cartilage disorders, left shoulder"
