"ccs_procedure_category","description"
"1","Incision and excision of CNS"
"2","Insertion; replacement; or removal of extracranial ventricular shunt"
"3","Excision destruction or resection of intervertebral disc"
"5","Insertion of catheter or spinal stimulator and injection into spinal canal"
"9","Other OR therapeutic nervous system procedures"
"10","Thyroidectomy; partial or complete"
"12","Therapeutic endocrine procedures"
"33","Other OR procedures on mouth and throat"
"36","Lobectomy or pneumonectomy"
"38","Other diagnostic procedures on lung and bronchus"
"40","Other diagnostic procedures on the respiratory system and mediastinum"
"42","Other OR Rx procedures on respiratory system and mediastinum"
"43","Heart valve procedures"
"44","Coronary artery bypass graft (CABG)"
"45","Percutaneous transluminal coronary angioplasty (PTCA) with or without stent placement"
"51","Endarterectomy; vessel of head and neck"
"52","Aortic resection; replacement or anastomosis"
"53","Varicose vein stripping; lower limb"
"55","Peripheral vascular bypass"
"56","Other vascular bypass and shunt; not heart"
"59","Other OR procedures on vessels of head and neck"
"66","Procedures on spleen"
"67","Other procedures; hemic and lymphatic systems"
"74","Gastrectomy; partial and total"
"78","Colorectal resection"
"79","Excision (partial) of large intestine (not endoscopic)"
"84","Cholecystectomy and common duct exploration"
"85","Inguinal and femoral hernia repair"
"86","Other hernia repair"
"94","Other OR upper GI therapeutic procedures"
"96","Other OR lower GI therapeutic procedures"
"99","Other OR gastrointestinal therapeutic procedures"
"104","Nephrectomy; partial or complete"
"106","Genitourinary incontinence procedures"
"107","Extracorporeal lithotripsy; urinary"
"109","Procedures on the urethra"
"113","Transurethral resection of prostate (TURP)"
"114","Open prostatectomy"
"118","Other OR therapeutic procedures; male genital"
"119","Oophorectomy; unilateral and bilateral"
"120","Other operations on ovary"
"123","Other operations on fallopian tubes"
"124","Hysterectomy; abdominal and vaginal"
"125","Other excision of cervix and uterus"
"129","Repair of cystocele and rectocele; obliteration of vaginal vault"
"132","Other OR therapeutic procedures; female organs"
"142","Partial excision bone"
"147","Fracture treatment including reposition with or without fixation; lower extremity fracture or dislocation (other than hip or femur)"
"148","Fracture treatment including reposition with or without fixation of other fracture or or dislocation"
"152","Arthroplasty knee"
"153","Hip replacement; total and partial"
"154","Arthroplasty other than hip or knee"
"158","Spinal fusion"
"159","Other diagnostic procedures on musculoskeletal system"
"160","Other therapeutic procedures on muscles and tendons"
"161","Other OR therapeutic procedures on bone"
"162","Other OR therapeutic procedures on joints"
"163","Other non-OR therapeutic procedures on musculoskeletal system"
"164","Other OR therapeutic procedures on musculoskeletal system"
"166","Lumpectomy; quadrantectomy of breast"
"167","Mastectomy"
"172","Skin graft"
"175","Other OR therapeutic procedures on skin subcutaneous tissue fascia and breast"
"211","Radiation therapy"
"224","Cancer chemotherapy"
