"icd_10_pcs","description"
"0270046","Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach"
"0270056","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
"0270066","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach"
"0270076","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"0271046","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach"
"0271056","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
"0271066","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach"
"0271076","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"0272046","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach"
"0272056","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
"0272066","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach"
"0272076","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"0273046","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach"
"0273056","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
"0273066","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach"
"0273076","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"02700E6","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Open Approach"
"02710E6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach"
"02720E6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach"
"02730E6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach"
"021608P","Bypass Right Atrium to Pulmonary Trunk with Zooplastic Tissue, Open Approach"
"021608Q","Bypass Right Atrium to Right Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021608R","Bypass Right Atrium to Left Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021609P","Bypass Right Atrium to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
"021609Q","Bypass Right Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"021609R","Bypass Right Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"02160AP","Bypass Right Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach"
"02160AQ","Bypass Right Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"02160AR","Bypass Right Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"02160JP","Bypass Right Atrium to Pulmonary Trunk with Synthetic Substitute, Open Approach"
"02160JQ","Bypass Right Atrium to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
"02160JR","Bypass Right Atrium to Left Pulmonary Artery with Synthetic Substitute, Open Approach"
"02160KP","Bypass Right Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
"02160KQ","Bypass Right Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"02160KR","Bypass Right Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"02160Z7","Bypass Right Atrium to Left Atrium, Open Approach"
"02160ZP","Bypass Right Atrium to Pulmonary Trunk, Open Approach"
"02160ZQ","Bypass Right Atrium to Right Pulmonary Artery, Open Approach"
"02160ZR","Bypass Right Atrium to Left Pulmonary Artery, Open Approach"
"02163Z7","Bypass Right Atrium to Left Atrium, Percutaneous Approach"
"021648P","Bypass Right Atrium to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021648Q","Bypass Right Atrium to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021648R","Bypass Right Atrium to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021649P","Bypass Right Atrium to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021649Q","Bypass Right Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021649R","Bypass Right Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"02164AP","Bypass Right Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02164AQ","Bypass Right Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02164AR","Bypass Right Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02164JP","Bypass Right Atrium to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach"
