encounter_type,encounter_type_sk,encounter_group_sk
acute inpatient,1,1
ambulance - orphaned,2,3
ambulatory surgery center,3,4
dialysis,4,4
dme - orphaned,5,3
emergency department,6,4
home health,7,4
inpatient hospice,8,1
inpatient psych,9,1
inpatient rehabilitation,10,1
inpatient skilled nursing,11,1
inpatient substance use,12,1
lab - orphaned,13,3
office visit,14,2
office visit - other,15,2
office visit injections,16,2
office visit pt/ot/st,17,2
office visit radiology,18,2
office visit surgery,19,2
orphaned claim,20,3
outpatient hospice,21,4
outpatient hospital or clinic,22,4
outpatient injections,23,4
outpatient psych,24,4
outpatient pt/ot/st,25,4
outpatient radiology,26,4
outpatient rehabilitation,27,4
outpatient substance use,28,4
outpatient surgery,29,4
telehealth,30,2
urgent care,31,4
all types,-1,-1
