predictor_name,predictor_type,encounter_type
ACUTE_INPATIENT_COUNT_PRED,Count,acute inpatient
ACUTE_INPATIENT_PAID_AMOUNT_PRED,Paid Amount,acute inpatient
AMBULANCE_ORPHANED_COUNT_PRED,Count,ambulance - orphaned
AMBULANCE_ORPHANED_PAID_AMOUNT_PRED,Paid Amount,ambulance - orphaned
AMBULATORY_SURGERY_CENTER_COUNT_PRED,Count,ambulatory surgery center
AMBULATORY_SURGERY_CENTER_PAID_AMOUNT_PRED,Paid Amount,ambulatory surgery center
DIALYSIS_COUNT_PRED,Count,dialysis
DIALYSIS_PAID_AMOUNT_PRED,Paid Amount,dialysis
DME_ORPHANED_COUNT_PRED,Count,dme - orphaned
DME_ORPHANED_PAID_AMOUNT_PRED,Paid Amount,dme - orphaned
EMERGENCY_DEPARTMENT_COUNT_PRED,Count,emergency department
EMERGENCY_DEPARTMENT_PAID_AMOUNT_PRED,Paid Amount,emergency department
HOME_HEALTH_COUNT_PRED,Count,home health
HOME_HEALTH_PAID_AMOUNT_PRED,Paid Amount,home health
INPATIENT_HOSPICE_COUNT_PRED,Count,inpatient hospice
INPATIENT_HOSPICE_PAID_AMOUNT_PRED,Paid Amount,inpatient hospice
INPATIENT_PSYCH_COUNT_PRED,Count,inpatient psych
INPATIENT_PSYCH_PAID_AMOUNT_PRED,Paid Amount,inpatient psych
INPATIENT_REHABILITATION_COUNT_PRED,Count,inpatient rehabilitation
INPATIENT_REHABILITATION_PAID_AMOUNT_PRED,Paid Amount,inpatient rehabilitation
INPATIENT_SKILLED_NURSING_COUNT_PRED,Count,inpatient skilled nursing
INPATIENT_SKILLED_NURSING_PAID_AMOUNT_PRED,Paid Amount,inpatient skilled nursing
LAB_ORPHANED_COUNT_PRED,Count,lab - orphaned
LAB_ORPHANED_PAID_AMOUNT_PRED,Paid Amount,lab - orphaned
OFFICE_VISIT_COUNT_PRED,Count,office visit
OFFICE_VISIT_OTHER_COUNT_PRED,Count,office visit - other
OFFICE_VISIT_OTHER_PAID_AMOUNT_PRED,Paid Amount,office visit - other
OFFICE_VISIT_PAID_AMOUNT_PRED,Paid Amount,office visit
OFFICE_VISIT_PT_OT_ST_COUNT_PRED,Count,office visit pt/ot/st
OFFICE_VISIT_PT_OT_ST_PAID_AMOUNT_PRED,Paid Amount,office visit pt/ot/st
OFFICE_VISIT_RADIOLOGY_COUNT_PRED,Count,office visit radiology
OFFICE_VISIT_RADIOLOGY_PAID_AMOUNT_PRED,Paid Amount,office visit radiology
OUTPATIENT_HOSPICE_COUNT_PRED,Count,outpatient hospice
OUTPATIENT_HOSPICE_PAID_AMOUNT_PRED,Paid Amount,outpatient hospice
OUTPATIENT_HOSPITAL_OR_CLINIC_COUNT_PRED,Count,outpatient hospital or clinic
OUTPATIENT_HOSPITAL_OR_CLINIC_PAID_AMOUNT_PRED,Paid Amount,outpatient hospital or clinic
OUTPATIENT_INJECTIONS_COUNT_PRED,Count,outpatient injections
OUTPATIENT_INJECTIONS_PAID_AMOUNT_PRED,Paid Amount,outpatient injections
OUTPATIENT_PSYCH_COUNT_PRED,Count,outpatient psych
OUTPATIENT_PSYCH_PAID_AMOUNT_PRED,Paid Amount,outpatient psych
OUTPATIENT_PT_OT_ST_COUNT_PRED,Count,outpatient pt/ot/st
OUTPATIENT_PT_OT_ST_PAID_AMOUNT_PRED,Paid Amount,outpatient pt/ot/st
OUTPATIENT_RADIOLOGY_COUNT_PRED,Count,outpatient radiology
OUTPATIENT_RADIOLOGY_PAID_AMOUNT_PRED,Paid Amount,outpatient radiology
OUTPATIENT_REHABILITATION_COUNT_PRED,Count,outpatient rehabilitation
OUTPATIENT_REHABILITATION_PAID_AMOUNT_PRED,Paid Amount,outpatient rehabilitation
OUTPATIENT_SURGERY_COUNT_PRED,Count,outpatient surgery
OUTPATIENT_SURGERY_PAID_AMOUNT_PRED,Paid Amount,outpatient surgery
TELEHEALTH_COUNT_PRED,Count,telehealth
TELEHEALTH_PAID_AMOUNT_PRED,Paid Amount,telehealth
URGENT_CARE_COUNT_PRED,Count,urgent care
URGENT_CARE_PAID_AMOUNT_PRED,Paid Amount,urgent care
OFFICE_VISIT_SURGERY_COUNT_PRED,Count,office visit surgery
OFFICE_VISIT_SURGERY_PAID_AMOUNT_PRED,Paid Amount,office visit surgery
ORPHANED_CLAIM_COUNT_PRED,Count,orphaned claim
ORPHANED_CLAIM_PAID_AMOUNT_PRED,Paid Amount,orphaned claim
OFFICE_VISIT_INJECTIONS_COUNT_PRED,Count,office visit injections
OFFICE_VISIT_INJECTIONS_PAID_AMOUNT_PRED,Paid Amount,office visit injections
PAID_AMOUNT_PRED,Paid Amount,all types
OUTPATIENT_COUNT_PRED,Count,outpatient
OUTPATIENT_PAID_AMOUNT_PRED,Paid Amount,outpatient
OTHER_COUNT_PRED,Count,other
OTHER_PAID_AMOUNT_PRED,Paid Amount,other
OFFICE_BASED_COUNT_PRED,Count,office based
OFFICE_BASED_PAID_AMOUNT_PRED,Paid Amount,office based
INPATIENT_COUNT_PRED,Count,inpatient
INPATIENT_PAID_AMOUNT_PRED,Paid Amount,inpatient
