"data_quality_category","graph_name","level_of_detail","y_axis_description","x_axis_description","filter_description","sum_description","y_axis","x_axis","chart_filter","value"
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-03-01 00:00:00.000",,"2018-01-01 00:00:00.000",528989.0198929366
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-07-01 00:00:00.000",,"2017-01-01 00:00:00.000",260214.66852292046
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-04-01 00:00:00.000",,"2016-01-01 00:00:00.000",266689.3301709965
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-05-01 00:00:00.000",,"2018-01-01 00:00:00.000",656549.8293769509
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-03-01 00:00:00.000",,"2017-01-01 00:00:00.000",295193.8291127868
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-05-01 00:00:00.000",,"2017-01-01 00:00:00.000",350415.890228156
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-11-01 00:00:00.000",,"2017-01-01 00:00:00.000",427843.3007979281
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-10-01 00:00:00.000",,"2018-01-01 00:00:00.000",321258.21053815633
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-08-01 00:00:00.000",,"2017-01-01 00:00:00.000",458626.51727973856
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-04-01 00:00:00.000",,"2017-01-01 00:00:00.000",414513.4171480462
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-01-01 00:00:00.000",,"2016-01-01 00:00:00.000",159097.7701275237
